DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
18092020,500002,000002961,0000000002668306,000004731,0000000004292047,062.59
18092020,500003,000368585,0000000086488471,000385157,0000000094443699,095.70
18092020,500008,000006131,0000000004684391,000050373,0000000039103088,012.17
18092020,500009,000021571,0000000000426028,000025208,0000000000506624,085.57
18092020,500010,000030034,0000000051742576,000075575,0000000130974344,039.74
18092020,500012,000086860,0000000002864552,000086860,0000000002864552,100.00
18092020,500013,000011789,0000000000047746,000013199,0000000000054229,089.32
18092020,500014,000001821,0000000000001913,000001821,0000000000002068,100.00
18092020,500020,000046943,0000000003194472,000175731,0000000012048737,026.71
18092020,500023,000000926,0000000000052829,000004253,0000000000242530,021.77
18092020,500027,000002021,0000000013363459,000004256,0000000028486999,047.49
18092020,500028,000012315,0000000000049574,000012315,0000000000049574,100.00
18092020,500029,000004989,0000000000098533,000006389,0000000000126309,078.09
18092020,500031,000003131,0000000001542957,000005963,0000000002980579,052.51
18092020,500032,000136263,0000000000733095,000263781,0000000001421135,051.66
18092020,500033,000004746,0000000005527192,000008046,0000000009451548,058.99
18092020,500034,000009492,0000000032988972,000061543,0000000213274532,015.42
18092020,500038,000011358,0000000001818984,000024490,0000000003919738,046.38
18092020,500039,000007083,0000000000639950,000010944,0000000000994245,064.72
18092020,500040,000026210,0000000009692458,000077635,0000000028798766,033.76
18092020,500041,000000165,0000000000214525,000000180,0000000000234783,091.67
18092020,500042,000002120,0000000003206288,000003980,0000000006086284,053.27
18092020,500043,000003133,0000000004180676,000019003,0000000025424255,016.49
18092020,500048,000010165,0000000006594544,000026978,0000000017377482,037.68
18092020,500049,000064161,0000000006647080,000230814,0000000023869891,027.80
18092020,500052,000009481,0000000000594933,000022829,0000000001455525,041.53
18092020,500055,000416357,0000000009617847,000468518,0000000010990167,088.87
18092020,500058,000004430,0000000000002480,000004430,0000000000002480,100.00
18092020,500060,000003307,0000000000179405,000006026,0000000000333784,054.88
18092020,500067,000002957,0000000001879618,000005853,0000000003812724,050.52
18092020,500068,000000014,0000000000049070,000000015,0000000000052455,093.33
18092020,500069,000001014,0000000000074327,000001067,0000000000071216,095.03
18092020,500074,000004891,0000000000091707,000007149,0000000000138161,068.42
18092020,500078,000009396,0000000003864575,000014998,0000000006228438,062.65
18092020,500083,000022175,0000000000076504,000027235,0000000000093576,081.42
18092020,500084,000011998,0000000008114248,000056711,0000000037803320,021.16
18092020,500085,000031531,0000000004944061,000068680,0000000010690421,045.91
18092020,500086,000092738,0000000015487246,000201802,0000000033829464,045.95
18092020,500087,000456860,0000000368617491,001481029,0000001183050668,030.85
18092020,500089,000000391,0000000000148307,000002089,0000000000796253,018.72
18092020,500092,000001130,0000000001955861,000002999,0000000005269605,037.68
18092020,500093,000419116,0000000010645547,000772821,0000000019341062,054.23
18092020,500096,000137292,0000000069723743,000199061,0000000100118163,068.97
18092020,500097,000003347,0000000000451845,000011951,0000000001623961,028.01
18092020,500101,000088035,0000000002878745,000382731,0000000012608882,023.00
18092020,500102,000692119,0000000000968659,000692119,0000000000968659,100.00
18092020,500103,000392153,0000000013588102,001170417,0000000041016554,033.51
18092020,500104,000054420,0000000010554759,000161312,0000000031659726,033.74
18092020,500106,000135989,0000000000894808,000300215,0000000001994825,045.30
18092020,500108,000045284,0000000000416160,000074492,0000000000687216,060.79
18092020,500109,000058700,0000000001693495,000108668,0000000003164021,054.02
18092020,500110,000015083,0000000001149325,000029189,0000000002269343,051.67
18092020,500111,000119560,0000000001032999,000204317,0000000001782266,058.52
18092020,500112,001185415,0000000228310929,003399860,0000000658909619,034.87
18092020,500113,000193940,0000000007340629,000434355,0000000016565531,044.65
18092020,500114,000014642,0000000017026450,000068589,0000000081220809,021.35
18092020,500116,000052703,0000000001955282,000201379,0000000007518496,026.17
18092020,500117,000064949,0000000001001514,000100778,0000000001568137,064.45
18092020,500119,000004955,0000000000733836,000011186,0000000001671372,044.30
18092020,500120,000030409,0000000014108256,000055130,0000000026317605,055.16
18092020,500123,000000765,0000000002010497,000000843,0000000002195174,090.75
18092020,500124,000034218,0000000182269021,000637039,0000003354640287,005.37
18092020,500125,000026692,0000000008048973,000046983,0000000014383315,056.81
18092020,500126,000001355,0000000007142409,000003254,0000000017302563,041.64
18092020,500128,000072991,0000000001279533,000141958,0000000002506670,051.42
