DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
29092020,500002,000003832,0000000003274253,000008553,0000000007381215,044.80
29092020,500003,000005346,0000000001264062,000014741,0000000003520951,036.27
29092020,500008,000013550,0000000010245833,000063610,0000000047955548,021.30
29092020,500009,000014138,0000000000275691,000015241,0000000000296787,092.76
29092020,500010,000031962,0000000054757299,000108178,0000000184032439,029.55
29092020,500012,000073086,0000000002305072,000073086,0000000002305072,100.00
29092020,500013,000012474,0000000000047526,000012622,0000000000049396,098.83
29092020,500014,000001176,0000000000001412,000001176,0000000000001411,100.00
29092020,500020,000024716,0000000001586768,000082226,0000000005273713,030.06
29092020,500027,000001079,0000000006620691,000001810,0000000011065851,059.61
29092020,500028,000007595,0000000000027460,000007595,0000000000027460,100.00
29092020,500029,000000772,0000000000014900,000000796,0000000000015380,096.98
29092020,500031,000003033,0000000001471005,000007963,0000000003915299,038.09
29092020,500032,000136351,0000000000691300,000239231,0000000001221961,057.00
29092020,500033,000001995,0000000002141134,000003689,0000000003992778,054.08
29092020,500034,000028141,0000000092671128,000210290,0000000693285528,013.38
29092020,500038,000004945,0000000000738783,000010191,0000000001522826,048.52
29092020,500039,000002906,0000000000254275,000004484,0000000000394350,064.81
29092020,500040,000003932,0000000001313288,000015524,0000000005205374,025.33
29092020,500042,000000272,0000000000385683,000000568,0000000000811396,047.89
29092020,500043,000030713,0000000041345841,000149318,0000000205972123,020.57
29092020,500048,000003835,0000000002374441,000059069,0000000036774501,006.49
29092020,500049,000090935,0000000008729760,000478040,0000000046061940,019.02
29092020,500052,000041119,0000000002948233,000102537,0000000007307790,040.10
29092020,500055,000063400,0000000001363100,000126597,0000000002698468,050.08
29092020,500058,000005690,0000000000004267,000005690,0000000000004267,100.00
29092020,500060,000005282,0000000000277041,000007087,0000000000376936,074.53
29092020,500067,000001715,0000000001109262,000003440,0000000002237138,049.85
29092020,500068,000000035,0000000000120400,000000038,0000000000130339,092.11
29092020,500069,000000163,0000000000010335,000000276,0000000000017598,059.06
29092020,500074,000009127,0000000000160636,000014803,0000000000262681,061.66
29092020,500078,000000488,0000000000179316,000000584,0000000000213457,083.56
29092020,500083,000004200,0000000000014700,000005720,0000000000019857,073.43
29092020,500084,000003705,0000000002285615,000027807,0000000017231437,013.32
29092020,500085,000061387,0000000009514985,000111224,0000000017295576,055.19
29092020,500086,000032713,0000000005366568,000079436,0000000013119567,041.18
29092020,500087,000014056,0000000010714186,000152242,0000000117120968,009.23
29092020,500089,000000247,0000000000092638,000000296,0000000000112380,083.45
29092020,500092,000001342,0000000002378897,000001805,0000000003169023,074.35
29092020,500093,000091441,0000000002098571,000105530,0000000002379002,086.65
29092020,500096,000019139,0000000009511127,000076602,0000000038491171,024.98
