DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
23092020,500002,000006089,0000000005389983,000011844,0000000010583183,051.41
23092020,500003,000007920,0000000001781208,000016567,0000000003805930,047.81
23092020,500008,000004021,0000000002919649,000015820,0000000011476534,025.42
23092020,500009,000049895,0000000000890626,000050725,0000000000913905,098.36
23092020,500010,000038989,0000000064998562,000093916,0000000157002686,041.51
23092020,500012,000036502,0000000001145265,000036502,0000000001145265,100.00
23092020,500013,000018974,0000000000071343,000027625,0000000000104816,068.68
23092020,500014,000001211,0000000000001333,000001211,0000000000001231,100.00
23092020,500020,000091951,0000000005788316,000180673,0000000011256512,050.89
23092020,500023,000000405,0000000000022316,000000461,0000000000025222,087.85
23092020,500027,000001808,0000000010803162,000004262,0000000025857554,042.42
23092020,500028,000028878,0000000000106740,000028878,0000000000106740,100.00
23092020,500029,000000227,0000000000004086,000000232,0000000000004222,097.84
23092020,500031,000003057,0000000001418143,000008703,0000000004031825,035.13
23092020,500032,000111407,0000000000554807,000201125,0000000001010239,055.39
23092020,500033,000001924,0000000002026742,000003181,0000000003384456,060.48
23092020,500034,000024950,0000000080909108,000135617,0000000443560079,018.40
23092020,500038,000017493,0000000002558352,000040472,0000000005956576,043.22
23092020,500039,000004089,0000000000355743,000005706,0000000000498322,071.66
23092020,500040,000018937,0000000006297500,000055435,0000000018521806,034.16
23092020,500041,000000037,0000000000048470,000000037,0000000000048470,100.00
23092020,500042,000000604,0000000000868099,000001497,0000000002145722,040.35
23092020,500043,000006293,0000000008436082,000047243,0000000063695192,013.32
23092020,500048,000005521,0000000003328335,000026323,0000000015829086,020.97
23092020,500049,000120287,0000000011282921,000495843,0000000046612550,024.26
23092020,500052,000032864,0000000002070432,000054442,0000000003462492,060.37
23092020,500055,000033862,0000000000712796,000073661,0000000001556863,045.97
23092020,500058,000005275,0000000000003323,000005275,0000000000003323,100.00
23092020,500060,000001142,0000000000057957,000002029,0000000000103513,056.28
23092020,500067,000001352,0000000000871229,000003023,0000000001943445,044.72
23092020,500068,000000070,0000000000239540,000000070,0000000000239457,100.00
23092020,500069,000000441,0000000000029327,000000451,0000000000030011,097.78
23092020,500074,000003702,0000000000064230,000004393,0000000000076639,084.27
23092020,500078,000003388,0000000001243058,000005147,0000000001880888,065.82
23092020,500083,000047141,0000000000168765,000053298,0000000000188155,088.45
23092020,500084,000003560,0000000002305634,000006771,0000000004365120,052.58
23092020,500085,000016548,0000000002453241,000041781,0000000006192317,039.61
23092020,500086,000132399,0000000020846223,000223419,0000000035266120,059.26
23092020,500087,000092636,0000000071042549,000746423,0000000573890520,012.41
23092020,500089,000000113,0000000000042036,000000115,0000000000042460,098.26
23092020,500092,000000158,0000000000277172,000000229,0000000000402509,069.00
23092020,500093,000341615,0000000007788822,000617272,0000000014128982,055.34
23092020,500096,000015135,0000000007356367,000056534,0000000027640206,026.77
23092020,500097,000002501,0000000000310625,000004135,0000000000516100,060.48
23092020,500101,000058227,0000000001738076,001118821,0000000033833554,005.20
23092020,500102,000268761,0000000000352124,000268761,0000000000352124,100.00
23092020,500103,000878909,0000000027685634,002772101,0000000088610475,031.71
23092020,500104,000189089,0000000033591661,000525759,0000000094132731,035.96
23092020,500106,000118881,0000000000703776,000254996,0000000001516126,046.62
23092020,500108,000060582,0000000000505254,000131504,0000000001115873,046.07
23092020,500109,000065891,0000000001808708,000097514,0000000002681926,067.57
23092020,500110,000015253,0000000001059321,000032807,0000000002304737,046.49
23092020,500111,000154533,0000000001233174,000318970,0000000002529817,048.45
23092020,500112,000353649,0000000065000687,001726374,0000000317763208,020.48
23092020,500113,000886233,0000000030840909,002606559,0000000091128638,034.00
23092020,500114,000049122,0000000054881555,000126871,0000000141342298,038.72
23092020,500116,000098577,0000000003395978,000252774,0000000008831970,039.00
23092020,500117,000039964,0000000000581876,000066258,0000000000956474,060.32
23092020,500119,000034001,0000000004493233,000059388,0000000007869995,057.25
23092020,500120,000008570,0000000003665389,000016510,0000000007029027,051.91
23092020,500123,000002067,0000000005490056,000002640,0000000007048703,078.30
23092020,500124,000016620,0000000084768648,000157478,0000000813105209,010.55
23092020,500125,000004447,0000000001278513,000012267,0000000003522330,036.25
23092020,500126,000000785,0000000003893640,000001444,0000000007172552,054.36
23092020,500128,000055607,0000000000980908,000096209,0000000001672115,057.80
23092020,500133,000000296,0000000000399600,000000379,0000000000508732,078.10
23092020,500135,000024900,0000000005942385,000052930,0000000012932611,047.04
23092020,500136,000012781,0000000000943877,000018626,0000000001377404,068.62
23092020,500144,000001778,0000000000484061,000002795,0000000000762439,063.61
23092020,500147,000000998,0000000000701994,000001346,0000000000969894,074.15
23092020,500148,000003268,0000000001015858,000012955,0000000004073560,025.23
23092020,500150,000000498,0000000000598024,000000575,0000000000694113,086.61
23092020,500151,000000263,0000000000005681,000000263,0000000000005675,100.00
23092020,500153,000049460,0000000002631272,000074547,0000000004097103,066.35
23092020,500155,000003094,0000000000030400,000003094,0000000000030400,100.00
23092020,500159,000000009,0000000000000410,000000010,0000000000000459,090.00
23092020,500160,000003897,0000000000009431,000003897,0000000000009430,100.00
23092020,500163,000002608,0000000002380974,000006582,0000000006007464,039.62
23092020,500164,000003671,0000000001477945,000006457,0000000002598604,056.85
23092020,500165,000000911,0000000000435185,000002472,0000000001185190,036.85
23092020,500166,000001712,0000000000480730,000002736,0000000000771860,062.57
23092020,500168,000001610,0000000001412856,000002535,0000000002229557,063.51
23092020,500170,000000266,0000000000002003,000000345,0000000000002558,077.10
23092020,500171,000119835,0000000019239510,000150921,0000000024235958,079.40
23092020,500173,000001939,0000000000155508,000002678,0000000000217889,072.40
23092020,500174,000000500,0000000000001210,000000500,0000000000001210,100.00
23092020,500179,000052321,0000000000395024,000073607,0000000000565353,071.08
23092020,500180,000093152,0000000097581378,000361101,0000000377760727,025.80
23092020,500182,000017946,0000000053090550,000044722,0000000134033620,040.13
23092020,500183,000171953,0000000002570698,000445720,0000000006664141,038.58
