DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
30092020|500002|000002120|0000000001822034|000003899|0000000003353462|054.37
30092020|500003|000005714|0000000001305649|000008418|0000000001958270|067.88
30092020|500008|000009520|0000000007269948|000017996|0000000013650313|052.90
30092020|500009|000041332|0000000000770842|000057664|0000000001102563|071.68
30092020|500010|000739555|0000001267019788|000782813|0000001341346277|094.47
30092020|500012|000178194|0000000005925690|000178194|0000000005925690|100.00
30092020|500013|000012260|0000000000048427|000016343|0000000000064398|075.02
30092020|500014|000001802|0000000000002055|000001802|0000000000002125|100.00
30092020|500016|000000100|0000000000000675|000000100|0000000000000675|100.00
30092020|500020|000014707|0000000000925806|000036685|0000000002329630|040.09
30092020|500023|000000001|0000000000000056|000000001|0000000000000055|100.00
30092020|500027|000000171|0000000001043759|000000426|0000000002596908|040.14
30092020|500028|000001550|0000000000005669|000001550|0000000000005669|100.00
30092020|500031|000522373|0000000262518552|000550206|0000000275121510|094.94
30092020|500032|000103066|0000000000513269|000237004|0000000001186159|043.49
30092020|500033|000001129|0000000001194595|000001838|0000000001970650|061.43
30092020|500034|000086687|0000000285014852|000182462|0000000601449341|047.51
30092020|500038|000046957|0000000007283031|000073163|0000000011297137|064.18
30092020|500039|000010102|0000000000907665|000017142|0000000001535870|058.93
30092020|500040|000008456|0000000002801896|000029106|0000000009743138|029.05
30092020|500041|000000030|0000000000039000|000000030|0000000000039030|100.00
30092020|500042|000002236|0000000003383404|000005779|0000000008602327|038.69
30092020|500043|000005891|0000000007764338|000039197|0000000051943682|015.03
30092020|500048|000001929|0000000001177655|000063296|0000000038856780|003.05
30092020|500049|000068383|0000000006547673|000336258|0000000031900897|020.34
30092020|500052|000030935|0000000002244335|000095808|0000000007024280|032.29
30092020|500055|000019791|0000000000414622|000038651|0000000000816118|051.20
30092020|500058|000002350|0000000000001833|000002350|0000000000001833|100.00
30092020|500060|000002270|0000000000117586|000003242|0000000000168061|070.02
30092020|500067|000089702|0000000057211936|000104754|0000000067167590|085.63
30092020|500068|000000171|0000000000581768|000000208|0000000000708233|082.21
30092020|500074|000008864|0000000000163541|000017005|0000000000311836|052.13
30092020|500078|000001366|0000000000479466|000001784|0000000000630098|076.57
30092020|500083|000003490|0000000000011692|000003494|0000000000011706|099.89
30092020|500084|000000582|0000000000357203|000002140|0000000001320827|027.20
30092020|500085|000024496|0000000003865469|000045454|0000000007145019|053.89
