Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,24092020,825364329,0001801
Trade Date <24-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,34570,20554,59.46
20,2,21STCENMGM,EQ,132,132,100.00
20,3,3IINFOTECH,EQ,4139416,2423451,58.55
20,4,3MINDIA,EQ,3298,1701,51.58
20,5,619GS2034,GS,1,1,100.00
20,6,63MOONS,EQ,45436,33731,74.24
20,7,716GS2050,GS,133,133,100.00
20,8,719GS2060,GS,1502,1501,99.93
20,9,757GS2033,GS,110,110,100.00
20,10,A2ZINFRA,EQ,257301,155264,60.34
20,11,AARON,SM,12600,12600,100.00
20,12,AARTIDRUGS,EQ,152142,53567,35.21
20,13,AARTIIND,EQ,245360,132436,53.98
20,14,AARVEEDEN,EQ,2227,1856,83.34
20,15,AARVI,EQ,354,353,99.72
20,16,AAVAS,EQ,12451,5114,41.07
20,17,ABAN,EQ,39643,25969,65.51
20,18,ABB,EQ,107682,68416,63.54
20,19,ABBOTINDIA,EQ,7319,3839,52.45
20,20,ABCAPITAL,EQ,1783072,791785,44.41
20,21,ABFRL,EQ,1181308,401125,33.96
20,22,ABFRLPP,E1,95800,55838,58.29
20,23,ABSLBANETF,EQ,875,633,72.34
20,24,ABSLNN50ET,EQ,115,91,79.13
20,25,ABSLRIF6RG,MF,46293,39500,85.33
20,26,ACC,EQ,629729,89687,14.24
20,27,ACCELYA,EQ,7832,6165,78.72
20,28,ACCURACY,SM,8000,4800,60.00
20,29,ACE,EQ,194612,96493,49.58
20,30,ADANIENT,EQ,3690059,559332,15.16
20,31,ADANIGAS,EQ,1525731,603814,39.58
20,32,ADANIGREEN,EQ,2703483,1793992,66.36
20,33,ADANIPORTS,EQ,6857200,3004974,43.82
20,34,ADANIPOWER,EQ,1781326,1212598,68.07
20,35,ADANITRANS,EQ,603632,371390,61.53
20,36,ADFFOODS,EQ,58885,28393,48.22
20,37,ADHUNIKIND,EQ,19815,17453,88.08
20,38,ADORWELD,EQ,12102,7293,60.26
20,39,ADROITINFO,EQ,145,145,100.00
20,40,ADSL,EQ,32727,25451,77.77
20,41,ADVANIHOTR,EQ,6111,2586,42.32
20,42,ADVENZYMES,EQ,6767608,4479127,66.18
20,43,AEGISCHEM,EQ,170341,117968,69.25
20,44,AFFLE,EQ,118625,96801,81.60
20,45,AGARIND,EQ,6047,4948,81.83
20,46,AGCNET,EQ,6675,5911,88.55
20,47,AGRITECH,EQ,4923,2860,58.09
20,48,AGROPHOS,EQ,23617,11984,50.74
20,49,AHLEAST,EQ,1788,1418,79.31
20,50,AHLUCONT,EQ,20597,11260,54.67
20,51,AHLWEST,EQ,5130,3210,62.57
20,52,AIAENG,EQ,39703,25344,63.83
20,53,AIONJSW,EQ,285933,212854,74.44
20,54,AIRAN,EQ,27222,17217,63.25
20,55,AIROLAM,SM,6000,6000,100.00
20,56,AISL,SM,1200,1200,100.00
20,57,AJANTPHARM,EQ,111064,43252,38.94
20,58,AJMERA,EQ,41264,18628,45.14
20,59,AJOONI,SM,56000,40000,71.43
20,60,AKSHARCHEM,EQ,21887,10915,49.87
20,61,AKSHOPTFBR,EQ,257052,153766,59.82
20,62,AKZOINDIA,EQ,7045,3843,54.55
20,63,ALANKIT,EQ,42317,28757,67.96
20,64,ALBERTDAVD,EQ,9492,6469,68.15
20,65,ALCHEM,EQ,27540,20341,73.86
20,66,ALEMBICLTD,EQ,487178,187064,38.40
20,67,ALICON,EQ,24585,10188,41.44
20,68,ALKALI,EQ,28958,14226,49.13
20,69,ALKEM,EQ,485671,316953,65.26
20,70,ALKYLAMINE,EQ,38850,18265,47.01
20,71,ALLCARGO,EQ,679147,359908,52.99
20,72,ALLSEC,EQ,6797,3249,47.80
20,73,ALMONDZ,EQ,5434,4757,87.54
20,74,ALOKINDS,EQ,1886965,1842408,97.64
20,75,ALPA,EQ,17469,10777,61.69
20,76,ALPHAGEO,EQ,8302,6049,72.86
20,77,ALPSINDUS,EQ,12414,8976,72.31
20,78,AMARAJABAT,EQ,811322,193022,23.79
20,79,AMBER,EQ,159097,49428,31.07
20,80,AMBIKCO,EQ,5486,3538,64.49
20,81,AMBUJACEM,EQ,3309215,848033,25.63
20,82,AMDIND,EQ,1584,1123,70.90
20,83,AMJLAND,EQ,14258,12827,89.96
20,84,AMJUMBO,SM,80000,80000,100.00
20,85,AMRUTANJAN,EQ,73221,29880,40.81
20,86,ANANTRAJ,EQ,686841,332428,48.40
20,87,ANDHRACEMT,EQ,92631,60970,65.82
20,88,ANDHRAPAP,EQ,31484,19673,62.49
20,89,ANDHRSUGAR,EQ,34940,17928,51.31
20,90,ANIKINDS,EQ,3039,2270,74.70
20,91,ANSALAPI,EQ,43332,39294,90.68
20,92,ANSALHSG,EQ,5945,5829,98.05
20,93,ANUP,EQ,5482,3678,67.09
20,94,APARINDS,EQ,20711,12429,60.01
20,95,APCL,EQ,56983,20091,35.26
20,96,APCOTEXIND,EQ,31097,15158,48.74
20,97,APEX,EQ,70352,26376,37.49
20,98,APLAPOLLO,EQ,38448,23570,61.30
20,99,APLLTD,EQ,596529,342285,57.38
20,100,APOLLO,EQ,67670,29194,43.14
20,101,APOLLOHOSP,EQ,5742873,1018329,17.73
20,102,APOLLOPIPE,EQ,16874,10557,62.56
20,103,APOLLOTYRE,EQ,4529170,782037,17.27
20,104,APOLSINHOT,EQ,1581,990,62.62
20,105,APTECHT,EQ,121597,37885,31.16
20,106,ARCHIDPLY,EQ,12588,10114,80.35
20,107,ARCHIES,EQ,12284,9259,75.37
20,108,ARENTERP,EQ,1656,1556,93.96
20,109,ARIES,EQ,27971,15423,55.14
20,110,ARIHANT,EQ,200,200,100.00
20,111,ARIHANTSUP,EQ,2391,1905,79.67
20,112,ARMANFIN,EQ,5455,2895,53.07
20,113,AROGRANITE,EQ,8929,7545,84.50
20,114,ARROWGREEN,EQ,4174,2193,52.54
20,115,ARSHIYA,EQ,14728,14505,98.49
20,116,ARSSINFRA,EQ,6944,5192,74.77
20,117,ARTEMISMED,EQ,1338,919,68.68
20,118,ARVIND,EQ,3041386,1424061,46.82
20,119,ARVINDFASN,EQ,171403,87199,50.87
20,120,ARVSMART,EQ,46743,25318,54.16
20,121,ASAHIINDIA,EQ,21078,10294,48.84
20,122,ASAHISONG,EQ,22675,13058,57.59
20,123,ASAL,EQ,9618,5956,61.93
20,124,ASALCBR,EQ,51080,23593,46.19
20,125,ASHAPURMIN,EQ,264126,154692,58.57
20,126,ASHIANA,EQ,61469,39808,64.76
20,127,ASHOKA,EQ,986340,310420,31.47
20,128,ASHOKLEY,EQ,61809909,13689583,22.15
20,129,ASIANHOTNR,EQ,11135,6135,55.10
20,130,ASIANPAINT,EQ,1906183,612886,32.15
20,131,ASIANTILES,EQ,205595,18366,8.93
20,132,ASPINWALL,EQ,292,146,50.00
20,133,ASTEC,EQ,116172,59262,51.01
20,134,ASTERDM,EQ,112101,48165,42.97
20,135,ASTRAL,EQ,106740,41910,39.26
20,136,ASTRAMICRO,EQ,291751,129098,44.25
20,137,ASTRAZEN,EQ,52266,18589,35.57
20,138,ASTRON,EQ,22749,14173,62.30
20,139,ATFL,EQ,6970,2972,42.64
20,140,ATLANTA,EQ,8447,5990,70.91
20,141,ATUL,EQ,30997,10782,34.78
20,142,ATULAUTO,EQ,58804,31823,54.12
