DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
25092020|500002|000006045|0000000005152456|000010635|0000000009138866|056.84
25092020|500003|000004530|0000000001023780|000009176|0000000002087053|049.37
25092020|500008|000003798|0000000002756969|000018288|0000000013141028|020.77
25092020|500009|000034586|0000000000613902|000044257|0000000000765235|078.15
25092020|500010|000034909|0000000057662687|000088940|0000000146283893|039.25
25092020|500012|000083290|0000000002454894|000083290|0000000002454894|100.00
25092020|500013|000005626|0000000000020704|000007786|0000000000028604|072.26
25092020|500014|000022639|0000000000024903|000024039|0000000000024310|094.18
25092020|500016|000000012|0000000000000081|000000012|0000000000000081|100.00
25092020|500020|000021657|0000000001369806|000085525|0000000005334637|025.32
25092020|500023|000000091|0000000000005124|000000092|0000000000005114|098.91
25092020|500027|000000423|0000000002575267|000000922|0000000005641468|045.88
25092020|500028|000005802|0000000000020169|000005802|0000000000020169|100.00
25092020|500029|000000184|0000000000003653|000000186|0000000000003536|098.92
25092020|500031|000007483|0000000003696228|000019594|0000000009457782|038.19
25092020|500032|000292654|0000000001445711|000471547|0000000002312718|062.06
25092020|500033|000002379|0000000002488316|000004648|0000000004798582|051.18
25092020|500034|000016596|0000000052082397|000148580|0000000460857700|011.17
25092020|500038|000020817|0000000003039282|000047645|0000000006946395|043.69
25092020|500039|000002038|0000000000177918|000003729|0000000000320988|054.65
25092020|500040|000007485|0000000002459946|000024664|0000000008040147|030.35
25092020|500041|000000072|0000000000093716|000000079|0000000000102922|091.14
25092020|500042|000000660|0000000000921129|000002226|0000000003105776|029.65
25092020|500043|000004108|0000000005353957|000020284|0000000026544984|020.25
25092020|500048|000005333|0000000003208600|000084332|0000000050964376|006.32
25092020|500049|000110130|0000000010275129|000392049|0000000036523056|028.09
25092020|500052|000121451|0000000008811271|000299399|0000000021418086|040.56
25092020|500055|000078708|0000000001613514|000144786|0000000002944459|054.36
25092020|500058|000027603|0000000000019046|000027603|0000000000019046|100.00
25092020|500060|000001318|0000000000066296|000001917|0000000000095800|068.75
25092020|500067|000001209|0000000000770738|000006259|0000000003929383|019.32
25092020|500068|000000088|0000000000302280|000000094|0000000000321799|093.62
25092020|500074|000008475|0000000000142380|000013462|0000000000220686|062.95
25092020|500078|000000530|0000000000191860|000000890|0000000000323075|059.55
25092020|500083|000023042|0000000000080647|000027853|0000000000095788|082.73
25092020|500084|000003066|0000000001931734|000006093|0000000003862627|050.32
25092020|500085|000007861|0000000001183474|000017667|0000000002632202|044.50
25092020|500086|000039056|0000000006264583|000253291|0000000040181916|015.42
25092020|500087|000025502|0000000019641641|000425377|0000000323442661|006.00
25092020|500089|000000782|0000000000296457|000001873|0000000000701231|041.75
25092020|500092|000000249|0000000000426562|000000709|0000000001219036|035.12
25092020|500093|000467615|0000000010123865|001209615|0000000026727312|038.66
25092020|500096|000017107|0000000008423487|000064965|0000000031990292|026.33
25092020|500097|000002782|0000000000346220|000004298|0000000000531407|064.73
25092020|500101|000371847|0000000012270951|002078419|0000000065914182|017.89
25092020|500102|000246011|0000000000312077|000246011|0000000000312077|100.00
