Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28092020,636228474,0001821
Trade Date <28-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,33196,16822,50.67
20,2,21STCENMGM,EQ,4212,3903,92.66
20,3,3IINFOTECH,EQ,8084265,5643914,69.81
20,4,3MINDIA,EQ,2588,1594,61.59
20,5,619GS2034,GS,5,5,100.00
20,6,63MOONS,EQ,53745,25934,48.25
20,7,716GS2050,GS,337,336,99.70
20,8,719GS2060,GS,2,2,100.00
20,9,A2ZINFRA,EQ,162383,113575,69.94
20,10,AARON,SM,12600,12600,100.00
20,11,AARTIDRUGS,EQ,310942,149172,47.97
20,12,AARTIIND,EQ,136227,63957,46.95
20,13,AARVEEDEN,EQ,2371,2251,94.94
20,14,AARVI,EQ,7536,6701,88.92
20,15,AAVAS,EQ,20250,11953,59.03
20,16,ABAN,EQ,33589,18336,54.59
20,17,ABB,EQ,79765,37278,46.73
20,18,ABBOTINDIA,EQ,6713,3706,55.21
20,19,ABCAPITAL,EQ,2008461,651075,32.42
20,20,ABFRL,EQ,1112026,567039,50.99
20,21,ABFRLPP,E1,24068,15149,62.94
20,22,ABSLBANETF,EQ,713,418,58.63
20,23,ABSLNN50ET,EQ,165,99,60.00
20,24,ABSLRIF6RG,MF,25000,25000,100.00
20,25,ACC,EQ,743574,76633,10.31
20,26,ACCELYA,EQ,4093,2480,60.59
20,27,ACCURACY,SM,4800,1600,33.33
20,28,ACE,EQ,124833,65369,52.37
20,29,ADANIENT,EQ,5876021,1327715,22.60
20,30,ADANIGAS,EQ,1248634,376467,30.15
20,31,ADANIGREEN,EQ,221961,221961,100.00
20,32,ADANIPORTS,EQ,4249775,476252,11.21
20,33,ADANIPOWER,EQ,1296200,856848,66.10
20,34,ADANITRANS,EQ,274608,100668,36.66
20,35,ADFFOODS,EQ,105744,43562,41.20
20,36,ADHUNIKIND,EQ,14948,10589,70.84
20,37,ADORWELD,EQ,16626,10771,64.78
20,38,ADROITINFO,EQ,2480,2480,100.00
20,39,ADSL,EQ,138775,22524,16.23
20,40,ADVANIHOTR,EQ,6564,3074,46.83
20,41,ADVENZYMES,EQ,1873980,286109,15.27
20,42,AEGISCHEM,EQ,414270,303110,73.17
20,43,AFFLE,EQ,44039,25008,56.79
20,44,AGARIND,EQ,6928,3833,55.33
20,45,AGCNET,EQ,28846,25276,87.62
20,46,AGRITECH,EQ,2620,2048,78.17
20,47,AGROPHOS,EQ,22128,15686,70.89
20,48,AHLADA,SM,10000,7000,70.00
20,49,AHLEAST,EQ,4963,1366,27.52
20,50,AHLUCONT,EQ,12921,5227,40.45
20,51,AHLWEST,EQ,1367,228,16.68
20,52,AIAENG,EQ,18171,9132,50.26
20,53,AIONJSW,EQ,78706,52273,66.42
20,54,AIRAN,EQ,15859,12320,77.68
20,55,AIROLAM,SM,3000,3000,100.00
20,56,AJANTPHARM,EQ,148032,60413,40.81
20,57,AJMERA,EQ,65457,29371,44.87
20,58,AJOONI,SM,24000,24000,100.00
20,59,AKSHARCHEM,EQ,13969,7402,52.99
20,60,AKSHOPTFBR,EQ,69795,54572,78.19
20,61,AKZOINDIA,EQ,6795,4028,59.28
20,62,ALANKIT,EQ,332995,128265,38.52
20,63,ALBERTDAVD,EQ,27742,10141,36.55
20,64,ALCHEM,EQ,18920,15666,82.80
20,65,ALEMBICLTD,EQ,670737,340767,50.80
20,66,ALICON,EQ,1973,1081,54.79
20,67,ALKALI,EQ,65793,15154,23.03
20,68,ALKEM,EQ,278899,159958,57.35
20,69,ALKYLAMINE,EQ,40266,19356,48.07
20,70,ALLCARGO,EQ,1620800,1015543,62.66
20,71,ALLSEC,EQ,2866,2343,81.75
20,72,ALMONDZ,EQ,3993,3566,89.31
20,73,ALOKINDS,EQ,49386311,14696774,29.76
20,74,ALPA,EQ,28036,15542,55.44
20,75,ALPHAGEO,EQ,7961,4338,54.49
20,76,ALPSINDUS,EQ,6434,6434,100.00
20,77,AMARAJABAT,EQ,774626,69557,8.98
20,78,AMBER,EQ,310011,78086,25.19
20,79,AMBIKCO,EQ,2725,1821,66.83
20,80,AMBUJACEM,EQ,2153072,556566,25.85
20,81,AMDIND,EQ,2602,1727,66.37
20,82,AMJLAND,EQ,8147,5841,71.70
20,83,AMJUMBO,SM,176000,160000,90.91
20,84,AMRUTANJAN,EQ,275090,77229,28.07
20,85,ANANTRAJ,EQ,618795,269545,43.56
20,86,ANDHRACEMT,EQ,107780,71254,66.11
20,87,ANDHRAPAP,EQ,62026,32517,52.42
20,88,ANDHRSUGAR,EQ,31893,15476,48.52
20,89,ANIKINDS,EQ,8232,2014,24.47
20,90,ANSALAPI,EQ,23115,12938,55.97
20,91,ANSALHSG,EQ,4631,4043,87.30
20,92,ANUP,EQ,49831,33839,67.91
20,93,APARINDS,EQ,33277,23084,69.37
20,94,APCL,EQ,22030,10719,48.66
20,95,APCOTEXIND,EQ,33544,15813,47.14
20,96,APEX,EQ,144976,26067,17.98
20,97,APLAPOLLO,EQ,123540,41442,33.55
20,98,APLLTD,EQ,463411,232851,50.25
20,99,APOLLO,EQ,65911,31800,48.25
20,100,APOLLOHOSP,EQ,2422864,446793,18.44
20,101,APOLLOPIPE,EQ,18248,9751,53.44
20,102,APOLLOTYRE,EQ,10016537,1798081,17.95
20,103,APOLSINHOT,EQ,791,506,63.97
20,104,APTECHT,EQ,128050,38588,30.14
20,105,ARCHIDPLY,EQ,42939,22091,51.45
20,106,ARCHIES,EQ,28227,20839,73.83
20,107,ARENTERP,EQ,71,49,69.01
20,108,ARIES,EQ,43091,29433,68.30
20,109,ARIHANT,EQ,601,497,82.70
20,110,ARIHANTSUP,EQ,5444,4321,79.37
20,111,ARMANFIN,EQ,8026,3509,43.72
20,112,AROGRANITE,EQ,10549,6505,61.66
20,113,ARROWGREEN,EQ,211459,205841,97.34
20,114,ARSHIYA,EQ,182061,176061,96.70
20,115,ARSSINFRA,EQ,2582,1464,56.70
20,116,ARTEMISMED,EQ,1442,1291,89.53
20,117,ARVIND,EQ,1480969,933725,63.05
20,118,ARVINDFASN,EQ,217150,133290,61.38
20,119,ARVSMART,EQ,48092,22558,46.91
20,120,ASAHIINDIA,EQ,44810,25163,56.15
20,121,ASAHISONG,EQ,13692,7665,55.98
20,122,ASAL,EQ,10496,5774,55.01
20,123,ASALCBR,EQ,38248,16245,42.47
20,124,ASHAPURMIN,EQ,118699,81384,68.56
20,125,ASHIANA,EQ,44352,24228,54.63
20,126,ASHOKA,EQ,724014,312724,43.19
20,127,ASHOKLEY,EQ,79279887,8551474,10.79
20,128,ASIANHOTNR,EQ,20312,3091,15.22
20,129,ASIANPAINT,EQ,1137313,189262,16.64
20,130,ASIANTILES,EQ,284852,32317,11.35
20,131,ASLIND,SM,80000,80000,100.00
20,132,ASPINWALL,EQ,3614,2929,81.05
20,133,ASTEC,EQ,105475,41037,38.91
20,134,ASTERDM,EQ,65093,29336,45.07
20,135,ASTRAL,EQ,78998,36409,46.09
20,136,ASTRAMICRO,EQ,247504,94913,38.35
20,137,ASTRAZEN,EQ,62965,24640,39.13
20,138,ASTRON,EQ,67266,38862,57.77
20,139,ATFL,EQ,5992,3517,58.69
20,140,ATLANTA,EQ,9306,4887,52.51
20,141,ATUL,EQ,36733,15888,43.25
20,142,ATULAUTO,EQ,49237,23706,48.15
20,143,AUBANK,EQ,349634,236438,67.62
20,144,AURIONPRO,EQ,17315,12008,69.35
20,145,AUROPHARMA,EQ,3315484,492485,14.85
20,146,AUSOMENT,EQ,92804,61619,66.40
20,147,AUTOAXLES,EQ,43933,8955,20.38
20,148,AUTOIND,EQ,6137,6137,100.00
20,149,AUTOLITIND,EQ,9046,4827,53.36
20,150,AVADHSUGAR,EQ,49864,30228,60.62
20,151,AVANTIFEED,EQ,224622,66561,29.63
20,152,AVG,SM,1200,1200,100.00
20,153,AVROIND,SM,2000,2000,100.00
20,154,AVTNPL,EQ,117493,71040,60.46
20,155,AXISBANK,EQ,19389041,4330611,22.34
20,156,AXISCADES,EQ,43466,26111,60.07
20,157,AXISGOLD,EQ,105847,91217,86.18
20,158,AXISNIFTY,EQ,3948,3526,89.31
20,159,AYMSYNTEX,EQ,6676,4023,60.26
20,160,BAFNAPH,EQ,4430,4430,100.00
20,161,BAGFILMS,EQ,73292,47848,65.28
20,162,BAJAJ-AUTO,EQ,902239,370662,41.08
20,163,BAJAJCON,EQ,720518,217202,30.15
20,164,BAJAJELEC,EQ,139702,34645,24.80
20,165,BAJAJFINSV,EQ,672201,63755,9.48
20,166,BAJAJHIND,EQ,1014661,645692,63.64
20,167,BAJAJHLDNG,EQ,16279,6774,41.61
20,168,BAJFINANCE,EQ,5588695,541817,9.69
20,169,BALAJITELE,EQ,200367,84576,42.21
