Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092020,568164420,0001792
Trade Date <30-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,593,HEIDELBERG,EQ,399490,176671,44.22
20,594,HERCULES,EQ,18405,8678,47.15
20,595,HERITGFOOD,EQ,32446,19098,58.86
20,596,HEROMOTOCO,EQ,1175374,246569,20.98
20,597,HESTERBIO,EQ,6459,3701,57.30
20,598,HEXAWARE,EQ,301036,213900,71.05
20,599,HFCL,EQ,2273468,1202514,52.89
20,600,HGINFRA,EQ,20313,14408,70.93
20,601,HGS,EQ,16759,10705,63.88
20,602,HIKAL,EQ,4836901,981803,20.30
20,603,HIL,EQ,18518,10676,57.65
20,604,HILTON,EQ,9102,8053,88.48
20,605,HIMATSEIDE,EQ,1276335,437976,34.32
20,606,HINDALCO,EQ,15628518,3530335,22.59
20,607,HINDCOMPOS,EQ,556,494,88.85
20,608,HINDCON,SM,60000,60000,100.00
20,609,HINDCOPPER,EQ,272820,118519,43.44
20,610,HINDMOTORS,EQ,77055,55620,72.18
20,611,HINDNATGLS,EQ,945,603,63.81
20,612,HINDOILEXP,EQ,199432,139934,70.17
20,613,HINDPETRO,EQ,13759264,5442413,39.55
20,614,HINDUNILVR,EQ,2417400,831036,34.38
20,615,HINDZINC,EQ,369822,142552,38.55
20,616,HIRECT,EQ,2603,2142,82.29
20,617,HISARMETAL,EQ,11444,8286,72.40
20,618,HITECH,EQ,42383,25105,59.23
20,619,HITECHGEAR,EQ,1919,1219,63.52
20,620,HLVLTD,EQ,91958,68825,74.84
20,621,HMVL,EQ,1844,1252,67.90
20,622,HNDFDS,EQ,14878,9153,61.52
20,623,HNGSNGBEES,EQ,54,46,85.19
20,624,HONAUT,EQ,797,371,46.55
20,625,HONDAPOWER,EQ,2109,1066,50.55
20,626,HOTELRUGBY,EQ,2519,2519,100.00
20,627,HOVS,EQ,6000,4383,73.05
20,628,HPL,EQ,37405,32962,88.12
20,629,HSCL,EQ,1486400,591664,39.81
20,630,HSIL,EQ,500346,354220,70.80
20,631,HUBTOWN,EQ,22760,21472,94.34
20,632,HUDCO,EQ,830618,297454,35.81
20,633,HUDCO,N2,794,422,53.15
20,634,HUDCO,N3,643,643,100.00
20,635,HUDCO,N4,135,135,100.00
20,636,HUDCO,N5,315,200,63.49
20,637,HUDCO,N6,30,30,100.00
20,638,HUDCO,N8,351,336,95.73
20,639,HUDCO,N9,1110,906,81.62
20,640,HUDCO,ND,50,50,100.00
20,641,HUDCO,NE,681,656,96.33
20,642,HUSYSLTD,SM,48000,28000,58.33
20,643,IBMFNIFTY,EQ,1746,1446,82.82
20,644,IBREALEST,EQ,1172468,440082,37.53
20,645,IBUCCREDIT,N6,39,39,100.00
20,646,IBUCCREDIT,N7,25,25,100.00
20,647,IBUCCREDIT,NB,25,25,100.00
20,648,IBUCCREDIT,ND,11,11,100.00
20,649,IBULHSGFIN,EQ,30317167,3774690,12.45
20,650,IBULHSGFIN,N6,1724,1300,75.41
20,651,IBULHSGFIN,NA,500,500,100.00
20,652,IBULHSGFIN,NE,40,40,100.00
20,653,IBULISL,EQ,158167,85627,54.14
20,654,IBVENTPP,E1,407515,305417,74.95
20,655,IBVENTURES,EQ,1758054,801539,45.59
20,656,ICEMAKE,SM,2000,2000,100.00
20,657,ICICI500,EQ,67496,67366,99.81
20,658,ICICIALPLV,EQ,137411,45361,33.01
20,659,ICICIB22,EQ,145296,68889,47.41
20,660,ICICIBANK,EQ,19565088,5238992,26.78
20,661,ICICIBANKN,EQ,2495,924,37.03
20,662,ICICIBANKP,EQ,78308,47737,60.96
20,663,ICICIGI,EQ,602465,405341,67.28
20,664,ICICIGOLD,EQ,95243,52301,54.91
20,665,ICICILIQ,EQ,15953,15527,97.33
20,666,ICICILOVOL,EQ,846629,783071,92.49
20,667,ICICIM150,EQ,10538,9599,91.09
20,668,ICICIMCAP,EQ,2020,1891,93.61
20,669,ICICINF100,EQ,977,892,91.30
20,670,ICICINIFTY,EQ,104862,82261,78.45
20,671,ICICINV20,EQ,9063,6657,73.45
20,672,ICICINXT50,EQ,210494,180524,85.76
20,673,ICICIPRULI,EQ,1311729,283233,21.59
20,674,ICICISENSX,EQ,47,35,74.47
20,675,ICICITECH,EQ,48197,28020,58.14
20,676,ICIL,EQ,204420,149097,72.94
20,677,ICRA,EQ,317,159,50.16
20,678,IDBI,EQ,397007,167182,42.11
20,679,IDBIGOLD,EQ,180,135,75.00
20,680,IDEA,EQ,340581617,90084404,26.45
20,681,IDFC,EQ,4184197,2722964,65.08
20,682,IDFCFIRSTB,EQ,36572003,2470715,6.76
20,683,IDFCFIRSTB,N1,23,23,100.00
20,684,IDFCFIRSTB,N2,81,81,100.00
20,685,IDFCFIRSTB,N4,4,4,100.00
20,686,IDFCFIRSTB,N6,23,23,100.00
20,687,IDFCFIRSTB,N8,6,4,66.67
20,688,IDFCFIRSTB,N9,20,13,65.00
20,689,IDFCFIRSTB,NA,293,288,98.29
20,690,IDFCFIRSTB,NB,10,10,100.00
20,691,IDFCFIRSTB,NC,26,24,92.31
20,692,IDFNIFTYET,EQ,279,148,53.05
20,693,IEX,EQ,985099,436599,44.32
20,694,IFBAGRO,EQ,1995,931,46.67
20,695,IFBIND,EQ,55061,10450,18.98
20,696,IFCI,EQ,700274,306825,43.81
20,697,IFCI,NH,522,522,100.00
20,698,IFCI,NL,6,6,100.00
20,699,IFGLEXPOR,EQ,1208,713,59.02
20,700,IGARASHI,EQ,25203,9438,37.45
20,701,IGL,EQ,3419362,855683,25.02
