script_code,company_name,symbol
523207,Kokuyo Camlin ,KOKUYOCMLN
523261,Venky's  ,VENKEYS
523319,Balmer Lawrie & Co ,BALMLAWRIE
523367,DCM Shriram ,DCMSHRIRAM
523371,Mawana Sugars ,MAWANASUG
523385,Nilkamal ,NILKAMAL
523391,Nahar Polyfilms ,NAHARPOLY
523395,3M India ,3MINDIA
523405,JM Financial ,JMFINANCIL
523457,Linde India ,LINDEINDIA
523574,Future Enterprises ,FEL
523642,PI Industries ,PIIND
523648,Plastiblends India ,PLASTIBLEN
523660,Waterbase ,WATERBASE
523704,Mastek ,MASTEK
523716,Ashiana Housing ,ASHIANA
523756,SREI Infrastructure Finance ,SREINFRA
523792,Mazda ,MAZDA
523828,Menon Bearings ,MENONBE
523838,Simplex Infrastructures ,SIMPLEXINF
524000,Magma Fincorp  ,MAGMA
524051,Polyplex Corporation ,POLYPLEX
524075,Albert David ,ALBERTDAVD
524129,Vinyl Chemicals  ,VINYLINDIA
524200,Vinati Organics ,VINATIORGA
524208,Aarti Industries ,AARTIIND
524226,Gujarat Ambuja Exports ,GAEL
524280,Kopran ,KOPRAN
524324,Seya Industries ,SEYAIND
524330,Jayant Agro-Organics ,JAYAGROGN
524332,BCL INDUSTRIES ,NCLIND
524348,Aarti Drugs ,AARTIDRUGS
524370,Bodal Chemicals ,BODALCHEM
524394,Vimta Labs ,VIMTALABS
524404,Marksans Pharma ,MARKSANS
524494,Ipca Laboratories ,IPCALAB
524669,Hester Biosciences ,HESTERBIO
524709,NACL Industries ,NACLIND
524735,Hikal ,HIKAL
524804,Aurobindo Pharma ,AUROPHARMA
524816,Natco Pharma ,NATCOPHARM
524820,Panama Petrochem ,PANAMAPET
524824,Bal Pharma ,BALPHARMA
526227,Filatex India ,FILATEX
526235,Mercator ,MERCATOR
526299,Mphasis ,MPHASIS
526371,NMDC ,NMDC
526397,Alphageo ,ALPHAGEO
526521,Sanghi Industries ,SANGHIIND
526596,Liberty Shoes ,LIBERTSHOE
526608,Electrotherm  ,ELECTHERM
526612,Blue Dart Express ,BLUEDART
526666,Bhartiya International ,BIL
526668,Kamat Hotels  ,KAMATHOTEL
526707,Alchemist ,ALCHEM
526723,NTC INDUSTRIES ,NCLIND
526725,Sandesh ,SANDESH
526729,Goldiam International ,GOLDIAM
526797,Greenply Industries ,GREENPLY
526807,Seamec ,SEAMEC
526881,63 Moons Technologies ,63MOONS
526947,La Opala RG ,LAOPALA
530007,JK Tyre & Industries ,JKTYRE
530019,JUBILANT LIFE SCIENCES ,JUBILANT
530117,Fairchem Speciality ,FAIRCHEM
530199,Themis Medicare ,THEMISMED
530239,Suven Life Sciences ,SUVEN
530367,NRB Bearings ,NRBBEARING
530549,Shilpa Medicare ,SHILPAMED
530655,Goodluck India ,GOODLUCK
530759,Sterling Tools ,STERTOOLS
530803,Bhageria Industries ,BHAGERIA
530813,KRBL ,KRBL
530843,Cupid ,CUPID
530919,Remsons Industries ,REMSONSIND
530961,Vikas EcoTech ,VIKASECO
530999,Balaji Amines ,BALAMINES
531082,Alankit ,ALANKIT
531120,Patel Engineering ,PATELENG
531162,Emami ,EMAMI
531209,Nucleus Software Exports ,NUCLEUS
531213,Manappuram Finance ,MANAPPURAM
531266,VSTTillers Tractors ,VSTTILLERS
531335,Zydus Wellness ,ZYDUSWELL
531337,JUMP NETWORKS ,JUMPNET
531349,Panacea Biotec ,PANACEABIO
531373,The Byke Hospitality    ,BYKE
531431,Shakti Pumps  ,SHAKTIPUMP
531500,Rajesh Exports ,RAJESHEXPO
531531,Hatsun Agro Products ,HATSUN
531543,Jindal Worldwide ,JINDWORLD
531548,Somany Ceramics ,SOMANYCERA
531595,Capri Global Capital ,CGCL
531599,FDC ,FDC
531642,Marico ,MARICO
531761,APOLLO PIPES ,APOLLOPIPE
531768,Poly Medicure ,POLYMED
531795,Atul Auto ,ATULAUTO
531882,Kwality ,KWALITY
531978,Ambika Cotton Mills ,AMBIKCO
532081,KSS ,KSERASERA
532129,Hexaware Technologies ,HEXAWARE
532134,Bank Of Baroda,BANKBARODA
532144,Welspun Corp ,WELCORP
532149,Bank of India,BANKINDIA
532155,Gail  ,GAIL
532156,Vaibhav Global ,VAIBHAVGBL
532162,JK Paper ,JKPAPER
532163,Saregama India ,SAREGAMA
532174,ICICI Bank ,ICICIBANK
532175,Cyient ,CYIENT
532178,Engineers India ,ENGINERSIN
532180,Dhanlaxmi Bank ,DHANBANK
532187,IndusInd Bank ,INDUSINDBK
532210,City Union Bank ,CUB
532215,AXIS Bank ,AXISBANK
532221,Sonata Software ,SONATSOFTW
532234,National Aluminium Co ,NATIONALUM
532256,Nalwa Sons Investment ,NSIL
532259,Apar Industries ,APARINDS
532281,HCL Technologies ,HCLTECH
532286,Jindal Steel & Power ,JINDALSTEL
532296,Glenmark Pharmaceuticals ,GLENMARK
532300,Wockhardt ,WOCKPHARMA
532301,Tata Coffee ,TATACOFFEE
532309,GE Power India ,GEPIL
532321,Cadila Healthcare ,CADILAHC
532331,Ajanta Pharma ,AJANTPHARM
532343,TVS Motor Company ,TVSMOTOR
532345,Gati ,GATI
532348,Subex  ,SUBEX
532351,Aksh Optifibre ,AKSHOPTFBR
532366,PNB Gilts ,PNBGILTS
532369,Ramco Industries ,RAMCOIND
532370,Ramco Systems ,RAMCOSYS
532374,Sterlite Technologies ,STRTECH
532382,Balaji Telefilms ,BALAJITELE
532388,Indian Overseas Bank,IOB
532390,Taj GVK Hotels & Resorts ,TAJGVK
532391,Opto Circuits  ,OPTOCIRCUI
532400,BIRLASOFT ,BSOFT
532404,Saven Technologies ,SASKEN
532419,Smartlink Holdings ,SMARTLINK
532424,Godrej Consumer Products ,GODREJCP
532430,BF Utilities ,BFUTILITIE
532432,United Spirits ,MCDOWELL-N
532439,OLECTRA GREENTECH ,OLECTRA
532440,MPS ,MPS
532443,Cera Sanitaryware ,CERA
532454,Bharti Airtel  ,BHARTIARTL
532457,Gulshan Polyols ,GULPOLY
532461,Punjab National Bank,PNB
532475,Aptech ,APTECHT
532477,Union Bank of India,UNIONBANK
532478,United Breweries ,UBL
532482,Granules India ,GRANULES
532483,Canara Bank,CANBK
532486,Pokarna ,POKARNA
532488,Divi's Laboratories ,DIVISLAB
532497,Radico Khaitan ,RADICO
532500,Maruti Suzuki India  ,MARUTI
532505,UCO Bank,UCOBANK
532508,Jindal Stainless ,JSL
532509,Suprajit Engineering ,SUPRAJIT
532513,TVS Electronics ,TVSELECT
532514,Indraprashtha Gas ,IGL
532515,TVToday Network ,TVTODAY
532522,PETRONET LNG ,PETRONET
532523,Biocon ,BIOCON
532524,PTC India ,PTC
532525,Bank of maharashtra,MAHABANK
532527,ramkrishna forgings ,RKFORGE
532532,Jaiprakash Associates ,JPASSOCIAT
532538,UltraTech Cement ,ULTRACEMCO
532539,Minda Industries ,MINDAIND
532541,COFORGE ,NIITTECH
532548,Century Plyboards  ,CENTURYPLY
532553,Welspun Enterprises ,WELENT
532555,NTPC ,NTPC
532605,JBM Auto ,JBMA
532612,Indoco Remedies ,INDOCO
532613,VIP Clothing ,VIPCLOTHNG
532616,Xchanging Solutions ,XCHANGING
532617,Jet Airways  ,JETAIRWAYS
532622,GATEWAY DISTRIPARKS ,GDL
532628,3i Infotech ,3IINFOTECH
532630,Gokaldas Exports ,GOKEX
532636,IIFL FINANCE  ,IIFL
532638,Shoppers Stop ,SHOPERSTOP
532644,JK CEMENT ,JKCEMENT
532646,Uniply Industries ,UNIPLY
532648,Yes Bank ,YESBANK
532649,Nectar Lifesciences ,NECLIFE
532652,Karnataka Bank ,KTKBANK
532654,McLeod Russel India ,MCLEODRUSS
532659,IDFC ,IDFC
532660,Vivimed Labs ,VIVIMEDLAB
532661,Rane (Madras)  ,RML
532662,HT Media ,HTMEDIA
532663,Sasken Technologies ,SASKEN
532667,SUZLON ENERGY ,SUZLON
532670,Shree Renuka Sugars ,RENUKA
532683,AIA Engineering ,AIAENG
532684,Everest Kanto Cylinders ,EKC
532687,Repro India ,REPRO
532689,PVR ,PVR
532693,Punj LLoyd ,PUNJLLOYD
532698,Nitin Spinners ,NITINSPIN
532699,Royal Orchid Hotels ,ROH
532702,Gujarat State Petronet ,GSPL
532705,Jagran Prakashan ,JAGRAN
532706,Inox Leisure ,INOXLEISUR
532707,Dynemic Products ,DYNPRO
532710,Sadbhav Engineering ,SADBHAV
532712,Reliance Communications ,RCOM
532722,Nitco ,NITCO
532729,Uttam Sugar Mills ,UTTAMSUGAR
532732,Kewal Kiran Clothing ,KKCL
532733,SUN TV NETWORK ,SUNTV
532740,Lokesh Machines ,LOKESHMACH
532746,Unity Infraprojects ,UNITY
532749,Allcargo Logistics ,ALLCARGO
532754,GMR Infrastructure ,GMRINFRA
532755,Tech Mahindra ,TECHM
532757,VOLTAMP TRANSFORMERS ,VOLTAMP
532759,Atlanta ,ATLANTA
532760,Deep Industries ,DEEPIND
532761,HOV Services ,HOVS
532767,Gayatri Projects ,GAYAPROJ
532768,FIEM INDUSTRIES ,FIEMIND
532772,DCB Bank ,DCBBANK
532773,Global Vectra Helicorp ,GLOBALVECT
532777,Info Edge ,NAUKRI
532779,TORRENT POWER ,TORNTPOWER
532783,LT Foods ,DAAWAT
532784,Sobha ,SOBHA
532785,Ruchira Papers ,RUCHIRA
532790,Tanla Solutions ,TANLA
532794,Zee Media Corporation ,ZEEMEDIA
532800,TV18 Broadcast ,TV18BRDCST
532805,Redington  ,REDINGTON
532807,Cineline India ,CINELINE
532814,Indian Bank,INDIANB
532815,SMS Pharmaceuticals ,SMSPHARMA
532819,MindTree  ,MINDTREE
532822,VODAFONE IDEA ,IDEA
532827,Page Industries ,PAGEIND
532834,Camlin Fine Sciences ,CAMLINFINE
532835,ICRA ,ICRA
532839,Dish TV India ,DISHTV
532843,Fortis Healthcare ,FORTIS
532847,HILTON METAL FORGING ,HILTON
532848,Delta Corp ,DELTACORP
532850,MIC Electronics ,MIRCELECTR
532853,Asahi Songwon Colors ,ASAHISONG
532856,Time Technoplast ,TIMETECHNO
532864,Nelcast ,NELCAST
532865,Meghmani Organics ,MEGH
532867,V2 Retail ,V2RETAIL
532868,DLF ,DLF
532878,Alpa Laboratories ,ALPA
532880,OMAXE ,OMAXE
532884,Refex Industries ,REFEX
532885,Central Bank of India,CENTRALBK
532889,KPR Mill ,KPRMILL
532890,Take Solutions ,TAKE
532891,Puravankara ,PURVA
532900,PAISALO DIGITAL ,PAISALO
532926,JYOTHY LABS ,JYOTHYLAB
532927,eClerx Services ,ECLERX
532930,BGR ENERGY SYSTEMS ,BGRENERGY
532934,PPAP Automotive ,PPAP
532935,Aries Agro ,ARIES
532939,Reliance Power ,RPOWER
532944,OnMobile Global ,ONMOBILE
532945,Shriram EPC ,SHRIRAMEPC
532951,GSS Infotech ,GSS
532955,REC ,REC
532960,Indiabulls Ventures ,IBVENTURES
532966,Titagarh Wagons ,TWL
532967,KIRI INDUSTRIES ,KIRIINDUS
532974,Aditya Birla  Money ,BIRLAMONEY
532977,Bajaj Auto ,BAJAJ-AUTO
532978,Bajaj Finserv ,BAJAJFINSV
532983,RPG Life Sciences ,RPGLIFE
532987,Rane Brake Lining ,RBL
533022,20 Microns ,20MICRONS
533023,WABCO India ,WABCOINDIA
533080,Mold-Tek Packaging ,MOLDTKPAC
533096,Adani Power ,ADANIPOWER
533098,NHPC ,NHPC
533104,Globus Spirits ,GLOBUSSPR
533106,Oil India ,OIL
533122,RattanIndia Power ,RTNPOWER
533137,DEN Networks ,DEN
533138,ASTEC LIFESCIENCES ,ASTEC
533144,Cox & Kings ,COX&KINGS
533148,JSW Energy ,JSWENERGY
533150,Godrej Properties ,GODREJPROP
533151,DBCorp ,DBCORP
533155,Jubilant Foodworks ,JUBLFOOD
533156,Vascon Engineers ,VASCONEQ
533158,Thangamayil Jewellery ,THANGAMAYL
533162,Hathway Cable & Datacom ,HATHWAY
533179,Persistent Systems ,PERSISTENT
533206,SJVN ,SJVN
533218,EMAMI REALTY ,EMAMIREAL
533229,BAJAJ CONSUMER CARE ,BAJAJCON
533248,Gujarat Pipavav Port ,GPPL
533260,Career Point ,CAREERP
533269,VA Tech Wabag ,WABAG
533271,Ashoka Buildcon ,ASHOKA
533273,OBEROI REALTY ,OBEROIRLTY
533278,Coal India ,COALINDIA
533282,GRAVITA INDIA ,GRAVITA
533284,RPP INFRA PROJECTS ,RPPINFRA
533286,MOIL ,MOIL
533287,ZEE LEARN ,ZEELEARN
533292,A2Z Infra Engineering ,A2ZINFRA
533295,PUNJAB & SIND BANK,PSB
533296,Future Market Networks ,FMNL
533303,BF Investment ,BFINVEST
533320,Jubilant Industries ,JUBLINDS
533321,Bil Energy Systems ,BILENERGY
533333,Fineotex Chemical ,FCL
533336,Dhunseri Investments ,DHUNINV
533339,Zen Technologies ,ZENTEC
533343,Lovable Lingerie ,LOVABLE
533398,MUTHOOT FINANCE ,MUTHOOTFIN
533400,Future Consumer ,FCONSUMER
533470,Rushil Decor ,RUSHIL
533482,Kridhan Infra ,KRIDHANINF
533519,L&T FINANCE HOLDINGS ,L&TFH
533552,RUPA & COMPANY ,RUPA
533553,TD Power Systems ,TDPOWERSYS
533581,PG Electroplast ,PGEL
533644,Ujaas Energy ,UJAAS
533655,Triveni Turbine ,TRITURBINE
533758,APL Apollo Tubes ,APLAPOLLO
533761,GPT Infraprojects ,GPTINFRA
534076,Orient Refractories ,ORIENTREF
534309,NBCC  ,NBCC
534312,MT EDUCARE ,MTEDUCARE
534675,Prozone Intu Properties ,PROZONINTU
534690,LAKSHMI VILAS BANK ,LAKSHVILAS
534742,ZUARI AGRO CHEMICALS ,ZUARI
534758,Cigniti Technologies ,CIGNITITEC
534804,CARE Ratings ,CARERATING
534809,PC JEWELLER ,PCJEWELLER
534816,Bharti Infratel ,INFRATEL
534976,V-Mart Retail ,VMART
535322,Repco Home Finance ,REPCOHOME
535601,Sreeleathers ,SREEL
535648,Just Dial ,JUSTDIAL
535754,ORIENT CEMENT ,ORIENTCEM
538268,Wonderla Holidays ,WONDERLA
538365,Adhunik Industries ,ADHUNIKIND
538562,Skipper ,SKIPPER
538635,SNOWMAN LOGISTICS ,SNOWMAN
538666,Sharda Cropchem ,SHARDACROP
538835,INTELLECT DESIGN ARENA ,INTELLECT
538836,Monte Carlo Fashions ,MONTECARLO
538962,Minda Corporation ,MINDACORP
538979,Greenlam Industries ,GREENLAM
539083,Inox Wind ,INOXWIND
539118,VRL Logistics ,VRLLOG
539141,UFO Moviez India ,UFO
539150,PNC Infratech ,PNCINFRA
539225,Jiya Eco-Products ,JIYAECO
