Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,23092020,793110535,0001822
Trade Date <23-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,1,1,100.00
20,2,20MICRONS,EQ,47391,28008,59.10
20,3,21STCENMGM,EQ,759,759,100.00
20,4,3IINFOTECH,EQ,6922277,3304086,47.73
20,5,3MINDIA,EQ,3259,1612,49.46
20,6,63MOONS,EQ,43858,24551,55.98
20,7,716GS2050,GS,530,530,100.00
20,8,719GS2060,GS,4250,4250,100.00
20,9,74GS2035,GS,25,25,100.00
20,10,757GS2033,GS,3260,3260,100.00
20,11,763GS2059,GS,100,100,100.00
20,12,83GS2042,GS,1001,500,49.95
20,13,8KMILES,EQ,9345,9330,99.84
20,14,A2ZINFRA,EQ,262511,142368,54.23
20,15,AARON,SM,18900,18900,100.00
20,16,AARTIDRUGS,EQ,257258,113226,44.01
20,17,AARTIIND,EQ,194604,84375,43.36
20,18,AARVEEDEN,EQ,23656,13378,56.55
20,19,AARVI,EQ,154,153,99.35
20,20,AAVAS,EQ,42444,36578,86.18
20,21,ABAN,EQ,24173,17459,72.23
20,22,ABB,EQ,76188,39494,51.84
20,23,ABBOTINDIA,EQ,4112,1776,43.19
20,24,ABCAPITAL,EQ,2414441,751567,31.13
20,25,ABFRL,EQ,1459630,366678,25.12
20,26,ABFRLPP,E1,117826,68404,58.06
20,27,ABSLBANETF,EQ,649,400,61.63
20,28,ABSLNN50ET,EQ,75,51,68.00
20,29,ACC,EQ,604886,44884,7.42
20,30,ACCELYA,EQ,48356,43278,89.50
20,31,ACCURACY,SM,8000,1600,20.00
20,32,ACE,EQ,234512,99094,42.26
20,33,ADANIENT,EQ,8864858,578071,6.52
20,34,ADANIGAS,EQ,1776905,571278,32.15
20,35,ADANIGREEN,EQ,410113,269523,65.72
20,36,ADANIPORTS,EQ,4281300,1236961,28.89
20,37,ADANIPOWER,EQ,2560021,777829,30.38
20,38,ADANITRANS,EQ,257707,92380,35.85
20,39,ADFFOODS,EQ,114115,43504,38.12
20,40,ADHUNIKIND,EQ,10083,6439,63.86
20,41,ADORWELD,EQ,19168,11200,58.43
20,42,ADROITINFO,EQ,30706,27173,88.49
20,43,ADSL,EQ,142053,69464,48.90
20,44,ADVANIHOTR,EQ,4273,2825,66.11
20,45,ADVENZYMES,EQ,503845,131241,26.05
20,46,AEGISCHEM,EQ,232188,152740,65.78
20,47,AFFLE,EQ,41894,25534,60.95
20,48,AGARIND,EQ,3475,2754,79.25
20,49,AGCNET,EQ,54587,44374,81.29
20,50,AGRITECH,EQ,859,464,54.02
20,51,AGROPHOS,EQ,15019,10520,70.04
20,52,AHLADA,SM,1000,1000,100.00
20,53,AHLEAST,EQ,393,240,61.07
20,54,AHLUCONT,EQ,14930,7150,47.89
20,55,AHLWEST,EQ,3897,3373,86.55
20,56,AIAENG,EQ,27032,9525,35.24
20,57,AIONJSW,EQ,91669,85553,93.33
20,58,AIRAN,EQ,36958,27586,74.64
20,59,AISL,SM,1200,1200,100.00
20,60,AJANTPHARM,EQ,187395,96887,51.70
20,61,AJMERA,EQ,83280,35887,43.09
20,62,AJOONI,SM,20000,16000,80.00
20,63,AKG,SM,20000,20000,100.00
20,64,AKSHARCHEM,EQ,14140,7323,51.79
20,65,AKSHOPTFBR,EQ,129707,104014,80.19
20,66,AKZOINDIA,EQ,5195,2594,49.93
20,67,ALANKIT,EQ,169799,86608,51.01
20,68,ALBERTDAVD,EQ,6751,2749,40.72
20,69,ALCHEM,EQ,4066,3725,91.61
20,70,ALEMBICLTD,EQ,732993,240508,32.81
20,71,ALICON,EQ,1136,620,54.58
20,72,ALKALI,EQ,61432,18275,29.75
20,73,ALKEM,EQ,181077,116472,64.32
20,74,ALKYLAMINE,EQ,56421,22679,40.20
20,75,ALLCARGO,EQ,986589,351426,35.62
20,76,ALLSEC,EQ,1234,905,73.34
20,77,ALMONDZ,EQ,5296,3412,64.43
20,78,ALOKINDS,EQ,48227541,15658609,32.47
20,79,ALPA,EQ,16727,12326,73.69
20,80,ALPHAGEO,EQ,5491,3123,56.87
20,81,ALPSINDUS,EQ,9706,9706,100.00
