Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,25092020,677154749,0001805
Trade Date <25-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,54368,31523,57.98
20,2,21STCENMGM,EQ,3282,2536,77.27
20,3,3IINFOTECH,EQ,9668130,4584932,47.42
20,4,3MINDIA,EQ,5482,3534,64.47
20,5,619GS2034,GS,12,12,100.00
20,6,63MOONS,EQ,103197,80903,78.40
20,7,716GS2050,GS,11,11,100.00
20,8,757GS2033,GS,691,691,100.00
20,9,769GS2043,GS,5,5,100.00
20,10,A2ZINFRA,EQ,163174,129666,79.46
20,11,AARON,SM,12600,6300,50.00
20,12,AARTIDRUGS,EQ,232494,105620,45.43
20,13,AARTIIND,EQ,291908,161901,55.46
20,14,AARVEEDEN,EQ,4829,3225,66.78
20,15,AARVI,EQ,182,176,96.70
20,16,AAVAS,EQ,69281,48282,69.69
20,17,ABAN,EQ,40317,19475,48.30
20,18,ABB,EQ,174158,122373,70.27
20,19,ABBOTINDIA,EQ,6765,2945,43.53
20,20,ABCAPITAL,EQ,2662222,692073,26.00
20,21,ABFRL,EQ,1981208,826584,41.72
20,22,ABFRLPP,E1,68410,41803,61.11
20,23,ABSLBANETF,EQ,474,304,64.14
20,24,ABSLNN50ET,EQ,29,20,68.97
20,25,ABSLRIF6RG,MF,47500,47500,100.00
20,26,ACC,EQ,753140,101588,13.49
20,27,ACCELYA,EQ,29600,23666,79.95
20,28,ACCURACY,SM,4800,1600,33.33
20,29,ACE,EQ,225825,92807,41.10
20,30,ADANIENT,EQ,7663618,1186958,15.49
20,31,ADANIGAS,EQ,1484675,422238,28.44
20,32,ADANIGREEN,EQ,253932,229835,90.51
20,33,ADANIPORTS,EQ,6282538,871666,13.87
20,34,ADANIPOWER,EQ,1395295,517982,37.12
20,35,ADANITRANS,EQ,301204,124351,41.28
20,36,ADFFOODS,EQ,70849,26614,37.56
20,37,ADHUNIKIND,EQ,5089,3407,66.95
20,38,ADORWELD,EQ,24440,12203,49.93
20,39,ADROITINFO,EQ,4076,1971,48.36
20,40,ADSL,EQ,140872,21890,15.54
20,41,ADVANIHOTR,EQ,8929,3295,36.90
20,42,ADVENZYMES,EQ,6629827,1140162,17.20
20,43,AEGISCHEM,EQ,79637,42330,53.15
20,44,AFFLE,EQ,49910,30796,61.70
20,45,AGARIND,EQ,7970,4558,57.19
20,46,AGCNET,EQ,38770,37718,97.29
20,47,AGRITECH,EQ,2463,2159,87.66
20,48,AGROPHOS,EQ,19953,16632,83.36
20,49,AHLADA,SM,2000,1000,50.00
20,50,AHLEAST,EQ,335,232,69.25
20,51,AHLUCONT,EQ,19144,9478,49.51
20,52,AHLWEST,EQ,330,179,54.24
20,53,AIAENG,EQ,37341,12123,32.47
20,54,AIONJSW,EQ,49507,33743,68.16
20,55,AIRAN,EQ,15258,11832,77.55
20,56,AIROLAM,SM,6000,3000,50.00
20,57,AJANTPHARM,EQ,175626,58883,33.53
20,58,AJMERA,EQ,24927,8512,34.15
20,59,AJOONI,SM,4000,4000,100.00
20,60,AKG,SM,16000,16000,100.00
20,61,AKSHARCHEM,EQ,13585,6961,51.24
20,62,AKSHOPTFBR,EQ,203189,109183,53.73
20,63,AKZOINDIA,EQ,6926,3442,49.70
20,64,ALANKIT,EQ,501330,221023,44.09
20,65,ALBERTDAVD,EQ,7807,4739,60.70
20,66,ALCHEM,EQ,21249,17579,82.73
20,67,ALEMBICLTD,EQ,456698,214080,46.88
20,68,ALICON,EQ,4855,2741,56.46
20,69,ALKALI,EQ,13273,6198,46.70
20,70,ALKEM,EQ,135837,72259,53.20
20,71,ALKYLAMINE,EQ,39920,17805,44.60
20,72,ALLCARGO,EQ,1020348,535201,52.45
20,73,ALLSEC,EQ,8064,3845,47.68
20,74,ALMONDZ,EQ,7527,3994,53.06
20,75,ALOKINDS,EQ,43499072,13321573,30.62
20,76,ALPA,EQ,14348,7491,52.21
20,77,ALPHAGEO,EQ,8337,3773,45.26
20,78,ALPSINDUS,EQ,56380,35362,62.72
20,79,AMARAJABAT,EQ,983734,212942,21.65
20,80,AMBER,EQ,106666,29225,27.40
20,81,AMBIKCO,EQ,3304,1649,49.91
20,82,AMBUJACEM,EQ,4205656,1413814,33.62
20,83,AMDIND,EQ,2858,1355,47.41
20,84,AMJLAND,EQ,2187,1831,83.72
20,85,AMJUMBO,SM,168000,152000,90.48
20,86,AMRUTANJAN,EQ,95609,39466,41.28
20,87,ANANTRAJ,EQ,909983,399748,43.93
20,88,ANDHRACEMT,EQ,144584,87486,60.51
20,89,ANDHRAPAP,EQ,275206,81206,29.51
20,90,ANDHRSUGAR,EQ,31399,16554,52.72
20,91,ANIKINDS,EQ,3047,1736,56.97
20,92,ANSALAPI,EQ,41313,23735,57.45
20,93,ANSALHSG,EQ,15017,8439,56.20
20,94,ANUP,EQ,14748,10286,69.75
20,95,APARINDS,EQ,19782,14581,73.71
20,96,APCL,EQ,50969,15900,31.20
20,97,APCOTEXIND,EQ,29580,13619,46.04
20,98,APEX,EQ,95030,30801,32.41
20,99,APLAPOLLO,EQ,32290,18634,57.71
20,100,APLLTD,EQ,307458,113737,36.99
20,101,APOLLO,EQ,87216,36043,41.33
20,102,APOLLOHOSP,EQ,3665739,694042,18.93
20,103,APOLLOPIPE,EQ,41967,17391,41.44
20,104,APOLLOTYRE,EQ,10032486,1962498,19.56
20,105,APOLSINHOT,EQ,1493,999,66.91
20,106,APTECHT,EQ,191025,45391,23.76
20,107,ARCHIDPLY,EQ,9132,7375,80.76
20,108,ARCHIES,EQ,20322,14283,70.28
20,109,ARENTERP,EQ,1408,705,50.07
20,110,ARIES,EQ,25658,22377,87.21
20,111,ARIHANT,EQ,867,788,90.89
20,112,ARIHANTSUP,EQ,1184,1184,100.00
20,113,ARMANFIN,EQ,7928,4372,55.15
20,114,AROGRANITE,EQ,10698,5259,49.16
20,115,ARROWGREEN,EQ,3225,2507,77.74
20,116,ARSHIYA,EQ,7846,7742,98.67
20,117,ARSSINFRA,EQ,2459,2194,89.22
20,118,ARTEMISMED,EQ,2399,1414,58.94
20,119,ARVIND,EQ,5360921,2528621,47.17
20,120,ARVINDFASN,EQ,301517,198462,65.82
20,121,ARVSMART,EQ,91866,44269,48.19
20,122,ASAHIINDIA,EQ,18588,6650,35.78
20,123,ASAHISONG,EQ,26188,14559,55.59
20,124,ASAL,EQ,2682,2109,78.64
20,125,ASALCBR,EQ,36252,13177,36.35
20,126,ASHAPURMIN,EQ,155484,85794,55.18
20,127,ASHIANA,EQ,90299,74473,82.47
20,128,ASHOKA,EQ,833236,301910,36.23
20,129,ASHOKLEY,EQ,108390484,8878462,8.19
20,130,ASIANHOTNR,EQ,4413,1038,23.52
20,131,ASIANPAINT,EQ,1939344,316629,16.33
20,132,ASIANTILES,EQ,232234,38864,16.73
20,133,ASLIND,SM,16000,16000,100.00
20,134,ASPINWALL,EQ,497,445,89.54
20,135,ASTEC,EQ,99593,40480,40.65
20,136,ASTERDM,EQ,86677,33357,38.48
20,137,ASTRAL,EQ,252981,226155,89.40
20,138,ASTRAMICRO,EQ,234658,93599,39.89
20,139,ASTRAZEN,EQ,42215,14200,33.64
20,140,ASTRON,EQ,263299,103982,39.49
20,141,ATFL,EQ,10516,5369,51.06
20,142,ATLANTA,EQ,3043,2595,85.28
20,143,ATUL,EQ,30078,13436,44.67
20,144,ATULAUTO,EQ,54888,30370,55.33
20,145,AUBANK,EQ,583133,385552,66.12
20,146,AURIONPRO,EQ,36025,21336,59.23
20,147,AUROPHARMA,EQ,4844749,1105491,22.82
20,148,AUSOMENT,EQ,3149,2348,74.56
20,149,AUTOAXLES,EQ,73031,41975,57.48
20,150,AUTOIND,EQ,8363,8144,97.38
20,151,AUTOLITIND,EQ,7010,4933,70.37
20,152,AVADHSUGAR,EQ,48769,17490,35.86
20,153,AVANTIFEED,EQ,250022,52245,20.90
20,154,AVG,SM,1200,1200,100.00
20,155,AVTNPL,EQ,136972,82341,60.12
20,156,AXISBANK,EQ,20460158,4352476,21.27
20,157,AXISCADES,EQ,18915,8794,46.49
20,158,AXISGOLD,EQ,54870,42867,78.12
20,159,AXISNIFTY,EQ,4858,3694,76.04
20,160,AYMSYNTEX,EQ,18931,11893,62.82
20,161,BAFNAPH,EQ,247,247,100.00
20,162,BAGFILMS,EQ,32121,19049,59.30
20,163,BAJAJ-AUTO,EQ,559314,142747,25.52
20,164,BAJAJCON,EQ,598454,177301,29.63
20,165,BAJAJELEC,EQ,328950,60063,18.26
20,166,BAJAJFINSV,EQ,978396,161467,16.50
20,167,BAJAJHIND,EQ,2041149,1032543,50.59
20,168,BAJAJHLDNG,EQ,32098,11166,34.79
20,169,BAJFINANCE,EQ,6232618,912862,14.65
20,170,BALAJITELE,EQ,88047,45203,51.34
20,171,BALAMINES,EQ,137718,42001,30.50
