Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21092020,828274234,0001846
Trade Date <21-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,47282,18446,39.01
20,2,21STCENMGM,EQ,10382,10376,99.94
20,3,3IINFOTECH,EQ,3748227,2217923,59.17
20,4,3MINDIA,EQ,5829,3933,67.47
20,5,3PLAND,EQ,8,8,100.00
20,6,601GS2028,GS,1,1,100.00
20,7,63MOONS,EQ,26954,16652,61.78
20,8,719GS2060,GS,101,101,100.00
20,9,737GS2023,GS,100,100,100.00
20,10,824GS2027,GS,10,10,100.00
20,11,8KMILES,EQ,11527,11527,100.00
20,12,A2ZINFRA,EQ,350024,244392,69.82
20,13,AARON,SM,6300,6300,100.00
20,14,AARTIDRUGS,EQ,184864,85951,46.49
20,15,AARTIIND,EQ,240669,87663,36.42
20,16,AARVEEDEN,EQ,17051,13763,80.72
20,17,AARVI,EQ,2670,2669,99.96
20,18,AAVAS,EQ,247542,230890,93.27
20,19,ABAN,EQ,83910,63547,75.73
20,20,ABB,EQ,98225,59153,60.22
20,21,ABBOTINDIA,EQ,23230,12932,55.67
20,22,ABCAPITAL,EQ,2514668,1220353,48.53
20,23,ABFRL,EQ,1442459,719339,49.87
20,24,ABFRLPP,E1,84015,55211,65.72
20,25,ABINFRA,SM,4000,4000,100.00
20,26,ABSLBANETF,EQ,457,390,85.34
20,27,ABSLNN50ET,EQ,162,79,48.77
20,28,ACC,EQ,437372,49959,11.42
20,29,ACCELYA,EQ,22410,17766,79.28
20,30,ACCURACY,SM,6400,1600,25.00
20,31,ACE,EQ,188130,121580,64.63
20,32,ADANIENT,EQ,6460064,2464491,38.15
20,33,ADANIGAS,EQ,2206135,837735,37.97
20,34,ADANIGREEN,EQ,1096354,563550,51.40
20,35,ADANIPORTS,EQ,3086223,656021,21.26
20,36,ADANIPOWER,EQ,2322633,1436269,61.84
20,37,ADANITRANS,EQ,269836,115329,42.74
20,38,ADFFOODS,EQ,298130,112257,37.65
20,39,ADHUNIKIND,EQ,18000,12614,70.08
20,40,ADORWELD,EQ,31470,18461,58.66
20,41,ADROITINFO,EQ,435,435,100.00
