Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,29092020,643578386,0001804
Trade Date <29-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,17085,9484,55.51
20,2,21STCENMGM,EQ,1050,1050,100.00
20,3,3IINFOTECH,EQ,2098201,1216528,57.98
20,4,3MINDIA,EQ,3576,1145,32.02
20,5,63MOONS,EQ,28151,15957,56.68
20,6,716GS2050,GS,11,11,100.00
20,7,737GS2023,GS,1,1,100.00
20,8,757GS2033,GS,4700,4700,100.00
20,9,769GS2043,GS,5,5,100.00
20,10,A2ZINFRA,EQ,203518,132477,65.09
20,11,AAKASH,EQ,978,861,88.04
20,12,AARON,SM,12600,12600,100.00
20,13,AARTIDRUGS,EQ,280901,120959,43.06
20,14,AARTIIND,EQ,239039,105515,44.14
20,15,AARVEEDEN,EQ,4814,3296,68.47
20,16,AARVI,EQ,196,196,100.00
20,17,AAVAS,EQ,43827,10622,24.24
20,18,ABAN,EQ,37331,20809,55.74
20,19,ABB,EQ,532383,444797,83.55
20,20,ABBOTINDIA,EQ,7072,3344,47.29
20,21,ABCAPITAL,EQ,1465646,368790,25.16
20,22,ABFRL,EQ,1245647,423604,34.01
20,23,ABFRLPP,E1,703565,692768,98.47
20,24,ABSLBANETF,EQ,201,170,84.58
20,25,ABSLNN50ET,EQ,53,31,58.49
20,26,ABSLRIF6RG,MF,10000,10000,100.00
20,27,ACC,EQ,1172447,474518,40.47
20,28,ACCELYA,EQ,23227,20849,89.76
20,29,ACCURACY,SM,3200,0,0.00
20,30,ACE,EQ,115521,47131,40.80
20,31,ADANIENT,EQ,10246726,777963,7.59
20,32,ADANIGAS,EQ,1390359,314495,22.62
20,33,ADANIGREEN,EQ,204483,204476,100.00
20,34,ADANIPORTS,EQ,3490719,596592,17.09
20,35,ADANIPOWER,EQ,2207509,1003472,45.46
20,36,ADANITRANS,EQ,215649,83251,38.60
20,37,ADFFOODS,EQ,59682,27130,45.46
20,38,ADHUNIKIND,EQ,8006,6559,81.93
20,39,ADORWELD,EQ,12749,6621,51.93
20,40,ADROITINFO,EQ,3312,3312,100.00
20,41,ADSL,EQ,211824,58520,27.63
20,42,ADVANIHOTR,EQ,5758,3580,62.17
20,43,ADVENZYMES,EQ,593699,181564,30.58
20,44,AEGISCHEM,EQ,235874,61136,25.92
20,45,AFFLE,EQ,29154,19384,66.49
20,46,AGARIND,EQ,8944,7660,85.64
20,47,AGCNET,EQ,33756,31316,92.77
20,48,AGRITECH,EQ,4178,2553,61.11
20,49,AGROPHOS,EQ,5701,3612,63.36
20,50,AHLEAST,EQ,324,228,70.37
20,51,AHLUCONT,EQ,7939,3701,46.62
20,52,AHLWEST,EQ,403,137,34.00
20,53,AIAENG,EQ,82547,43841,53.11
20,54,AIONJSW,EQ,164118,108816,66.30
20,55,AIRAN,EQ,50204,38577,76.84
20,56,AJANTPHARM,EQ,129351,23178,17.92
20,57,AJMERA,EQ,39681,12166,30.66
20,58,AJOONI,SM,16000,0,0.00
20,59,AKG,SM,24000,12000,50.00
20,60,AKSHARCHEM,EQ,14777,7640,51.70
20,61,AKSHOPTFBR,EQ,75814,45192,59.61
20,62,AKZOINDIA,EQ,5190,2463,47.46
20,63,ALANKIT,EQ,416181,130082,31.26
20,64,ALBERTDAVD,EQ,133896,28939,21.61
20,65,ALCHEM,EQ,37561,25609,68.18
20,66,ALEMBICLTD,EQ,389862,194917,50.00
20,67,ALICON,EQ,1568,981,62.56
20,68,ALKALI,EQ,9602,4597,47.88
20,69,ALKEM,EQ,172734,84149,48.72
20,70,ALKYLAMINE,EQ,30314,13924,45.93
20,71,ALLCARGO,EQ,595201,379623,63.78
20,72,ALLSEC,EQ,892,588,65.92
20,73,ALMONDZ,EQ,4897,2877,58.75
20,74,ALOKINDS,EQ,14277876,7302439,51.15
20,75,ALPA,EQ,53304,35816,67.19
20,76,ALPHAGEO,EQ,5528,3875,70.10
20,77,ALPSINDUS,EQ,11583,11583,100.00
20,78,AMARAJABAT,EQ,773098,85729,11.09
20,79,AMBER,EQ,166819,47139,28.26
20,80,AMBIKCO,EQ,2515,1309,52.05
20,81,AMBUJACEM,EQ,4723206,849145,17.98
20,82,AMDIND,EQ,11274,8232,73.02
20,83,AMJLAND,EQ,6534,5407,82.75
20,84,AMJUMBO,SM,80000,32000,40.00
20,85,AMRUTANJAN,EQ,42016,18738,44.60
20,86,ANANTRAJ,EQ,300647,166378,55.34
20,87,ANDHRACEMT,EQ,151895,80668,53.11
20,88,ANDHRAPAP,EQ,57922,37720,65.12
20,89,ANDHRSUGAR,EQ,20111,10824,53.82
20,90,ANIKINDS,EQ,1825,1465,80.27
20,91,ANSALAPI,EQ,45069,31697,70.33
20,92,ANSALHSG,EQ,28922,23622,81.67
20,93,ANUP,EQ,51332,25338,49.36
20,94,APARINDS,EQ,11956,5894,49.30
20,95,APCL,EQ,55778,23512,42.15
20,96,APCOTEXIND,EQ,22644,12979,57.32
20,97,APEX,EQ,77239,25972,33.63
20,98,APLAPOLLO,EQ,140461,83278,59.29
20,99,APLLTD,EQ,368134,152584,41.45
20,100,APOLLO,EQ,70397,27759,39.43
20,101,APOLLOHOSP,EQ,2160714,418126,19.35
20,102,APOLLOPIPE,EQ,9426,5680,60.26
20,103,APOLLOTYRE,EQ,8115568,858751,10.58
20,104,APOLSINHOT,EQ,618,443,71.68
20,105,APTECHT,EQ,231958,50333,21.70
20,106,ARCHIDPLY,EQ,15275,9563,62.61
20,107,ARCHIES,EQ,12997,8640,66.48
20,108,ARENTERP,EQ,12742,10175,79.85
20,109,ARIES,EQ,26176,17697,67.61
20,110,ARIHANT,EQ,107,106,99.07
20,111,ARIHANTSUP,EQ,14694,14690,99.97
20,112,ARMANFIN,EQ,4144,2479,59.82
20,113,AROGRANITE,EQ,12559,7062,56.23
20,114,ARROWGREEN,EQ,5301,4620,87.15
20,115,ARSHIYA,EQ,19444,18762,96.49
20,116,ARSSINFRA,EQ,3033,2503,82.53
20,117,ARTEMISMED,EQ,232,108,46.55
20,118,ARVIND,EQ,4946778,2402649,48.57
20,119,ARVINDFASN,EQ,193903,128759,66.40
20,120,ARVSMART,EQ,1006287,134978,13.41
20,121,ASAHIINDIA,EQ,17984,5591,31.09
20,122,ASAHISONG,EQ,20873,11751,56.30
20,123,ASAL,EQ,2424,1709,70.50
20,124,ASALCBR,EQ,21861,9253,42.33
20,125,ASCOM,SM,4000,4000,100.00
20,126,ASHAPURMIN,EQ,93501,54274,58.05
20,127,ASHIANA,EQ,57063,39769,69.69
20,128,ASHOKA,EQ,653427,282075,43.17
20,129,ASHOKLEY,EQ,59401612,4388537,7.39
20,130,ASIANHOTNR,EQ,4398,2870,65.26
20,131,ASIANPAINT,EQ,1965398,407761,20.75
20,132,ASIANTILES,EQ,357521,84847,23.73
20,133,ASPINWALL,EQ,371,279,75.20
20,134,ASTEC,EQ,42556,21368,50.21
20,135,ASTERDM,EQ,499442,167240,33.49
20,136,ASTRAL,EQ,104022,25190,24.22
20,137,ASTRAMICRO,EQ,343390,130840,38.10
20,138,ASTRAZEN,EQ,44154,15698,35.55
20,139,ASTRON,EQ,160676,101938,63.44
20,140,ATFL,EQ,11586,5289,45.65
20,141,ATLANTA,EQ,7613,6369,83.66
20,142,ATUL,EQ,131759,105852,80.34
20,143,ATULAUTO,EQ,41423,14828,35.80
20,144,AUBANK,EQ,366162,154986,42.33
20,145,AURIONPRO,EQ,10038,6990,69.64
20,146,AUROPHARMA,EQ,3107037,598548,19.26
20,147,AUSOMENT,EQ,514836,145009,28.17
20,148,AUTOAXLES,EQ,17385,4574,26.31
20,149,AUTOIND,EQ,8081,8045,99.55
20,150,AUTOLITIND,EQ,4449,3706,83.30
20,151,AVADHSUGAR,EQ,19094,9545,49.99
20,152,AVANTIFEED,EQ,272312,71149,26.13
20,153,AVTNPL,EQ,78366,44010,56.16
20,154,AXISBANK,EQ,19998529,3527894,17.64
20,155,AXISCADES,EQ,46606,25724,55.19
20,156,AXISGOLD,EQ,58663,35072,59.79
20,157,AXISNIFTY,EQ,1579,1155,73.15
20,158,AYMSYNTEX,EQ,4850,3546,73.11
20,159,BAFNAPH,EQ,246,246,100.00
20,160,BAGFILMS,EQ,65482,65480,100.00
20,161,BAJAJ-AUTO,EQ,1189292,465301,39.12
20,162,BAJAJCON,EQ,441762,108520,24.57
20,163,BAJAJELEC,EQ,294035,28854,9.81
20,164,BAJAJFINSV,EQ,634635,40412,6.37
20,165,BAJAJHIND,EQ,1095839,590950,53.93
