DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
28092020|500002|000003462|0000000002983206|000006382|0000000005510152|054.25
28092020|500003|000012216|0000000002928786|000020011|0000000004764475|061.05
28092020|500008|000004721|0000000003527532|000033758|0000000025056479|013.98
28092020|500009|000016627|0000000000309263|000017286|0000000000320853|096.19
28092020|500010|000950888|0000001599773972|000991454|0000001650527155|095.91
28092020|500012|000024293|0000000000743585|000024293|0000000000743585|100.00
28092020|500013|000005525|0000000000021327|000005525|0000000000021323|100.00
28092020|500014|000003300|0000000000003795|000003300|0000000000003737|100.00
28092020|500016|000000005|0000000000000035|000000005|0000000000000035|100.00
28092020|500020|000044171|0000000002831362|000124275|0000000007993659|035.54
28092020|500023|000001962|0000000000110265|000007344|0000000000417215|026.72
28092020|500027|000000956|0000000005753400|000001445|0000000008759855|066.16
28092020|500028|000001813|0000000000006345|000001813|0000000000006345|100.00
28092020|500029|000000412|0000000000008076|000000523|0000000000010296|078.78
28092020|500031|000006005|0000000002926537|000012325|0000000006095272|048.72
28092020|500032|000123706|0000000000634612|000186719|0000000000955257|066.25
28092020|500033|000002308|0000000002508566|000007026|0000000007644389|032.85
28092020|500034|000015786|0000000052658150|000156037|0000000514280174|010.12
28092020|500038|000008932|0000000001346946|000018659|0000000002808836|047.87
28092020|500039|000004557|0000000000404662|000011354|0000000001012646|040.14
28092020|500040|000010541|0000000003517532|000032982|0000000011039168|031.96
28092020|500041|000000028|0000000000036624|000000029|0000000000037797|096.55
28092020|500042|000000925|0000000001338013|000001398|0000000002005008|066.17
28092020|500043|000017193|0000000023126305|000037277|0000000049954024|046.12
28092020|500048|000001849|0000000001129924|000016478|0000000010061590|011.22
28092020|500049|000136570|0000000013308747|000386741|0000000037361917|035.31
28092020|500052|000060039|0000000004379846|000159958|0000000011873469|037.53
28092020|500055|000048844|0000000001033051|000103101|0000000002166868|047.37
28092020|500058|000010225|0000000000007362|000010225|0000000000007362|100.00
28092020|500060|000001668|0000000000089238|000002524|0000000000135484|066.09
28092020|500067|000002181|0000000001420268|000005413|0000000003531315|040.29
28092020|500068|000000035|0000000000120754|000000041|0000000000140986|085.37
28092020|500069|000000001|0000000000000066|000000002|0000000000000127|050.00
28092020|500074|000010291|0000000000181122|000015735|0000000000273403|065.40
28092020|500078|000000691|0000000000256327|000001053|0000000000391995|065.62
28092020|500083|000043424|0000000000152419|000055734|0000000000195112|077.91
28092020|500084|000004611|0000000002880262|000027383|0000000017098833|016.84
28092020|500085|000009306|0000000001431729|000021696|0000000003316227|042.89
28092020|500086|000022308|0000000003660743|000094447|0000000015510981|023.62
28092020|500087|000034034|0000000026364439|000290151|0000000222877062|011.73
28092020|500089|000000184|0000000000070463|000000200|0000000000076706|092.00
28092020|500092|000000671|0000000001174955|000001331|0000000002317437|050.41
28092020|500093|000137597|0000000003013375|000200183|0000000004390146|068.74
28092020|500096|000012234|0000000006153702|000065252|0000000032583337|018.75
28092020|500097|000005384|0000000000692383|000010614|0000000001364072|050.73
28092020|500101|000064340|0000000002078182|000165909|0000000005400935|038.78
28092020|500102|000286858|0000000000365063|000286858|0000000000365063|100.00
28092020|500103|000633395|0000000020141961|002281418|0000000072308808|027.76
28092020|500104|000066621|0000000012254933|000198002|0000000036294899|033.65
28092020|500106|000063834|0000000000391941|000139882|0000000000858765|045.63
28092020|500108|000065962|0000000000571891|000118983|0000000001031524|055.44
28092020|500109|000112022|0000000003030196|000182175|0000000005026510|061.49
28092020|500110|000020998|0000000001468811|000062842|0000000004344572|033.41
28092020|500111|000202375|0000000001619000|000257499|0000000002069744|078.59
28092020|500112|000213527|0000000039993608|001418789|0000000264338109|015.05
28092020|500113|000322750|0000000011522175|001323904|0000000047085533|024.38
28092020|500114|000016999|0000000019365261|000059983|0000000067746202|028.34
28092020|500116|000021770|0000000000763039|000081030|0000000002828181|026.87
28092020|500117|000046855|0000000000715945|000061096|0000000000939538|076.69
28092020|500119|000013796|0000000001924542|000027192|0000000003770003|050.74
28092020|500120|000008266|0000000003628361|000011448|0000000005029837|072.20
28092020|500123|000027842|0000000069997573|000028005|0000000071275142|099.42
