Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092020,1045860201,0001804
Trade Date <18-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1679,TTL,EQ,1311,369,28.15
20,1680,TTML,EQ,1981326,940977,47.49
20,1681,TV18BRDCST,EQ,7167761,3147209,43.91
20,1682,TVSELECT,EQ,26055,12175,46.73
20,1683,TVSMOTOR,EQ,2203254,386938,17.56
20,1684,TVSSRICHAK,EQ,6201,3684,59.41
20,1685,TVTODAY,EQ,64795,21879,33.77
20,1686,TWL,EQ,75900,47536,62.63
20,1687,UBL,EQ,600755,190077,31.64
20,1688,UCALFUEL,EQ,34365,16151,47.00
20,1689,UCOBANK,EQ,1672135,1033777,61.82
20,1690,UFLEX,EQ,60248,29836,49.52
20,1691,UFO,EQ,84051,57495,68.40
20,1692,UGARSUGAR,EQ,915005,370298,40.47
20,1693,UJAAS,EQ,316719,223697,70.63
20,1694,UJJIVAN,EQ,1123971,412761,36.72
20,1695,UJJIVANSFB,EQ,612621,412760,67.38
20,1696,ULTRACEMCO,EQ,440400,229698,52.16
20,1697,UMANGDAIRY,EQ,16067,11801,73.45
20,1698,UMESLTD,EQ,4586,4386,95.64
20,1699,UNICHEMLAB,EQ,139317,74399,53.40
20,1700,UNIENTER,EQ,9493,5688,59.92
20,1701,UNIINFO,SM,14000,10000,71.43
20,1702,UNIONBANK,EQ,4313718,2315881,53.69
20,1703,UNITEDPOLY,SM,414000,414000,100.00
20,1704,UNITEDTEA,EQ,4656,4343,93.28
20,1705,UNIVASTU,EQ,4916,3515,71.50
20,1706,UNIVCABLES,EQ,9778,5065,51.80
20,1707,UPL,EQ,3868205,1711417,44.24
20,1708,URAVI,SM,7200,7200,100.00
20,1709,URJA,EQ,1827751,962600,52.67
20,1710,USHAMART,EQ,875793,643757,73.51
20,1711,UTIBANKETF,EQ,91,62,68.13
20,1712,UTIFEFRGR4,MF,2000,2000,100.00
20,1713,UTIFEFRGR5,MF,5000,5000,100.00
20,1714,UTINEXT50,EQ,573,402,70.16
20,1715,UTINIFTETF,EQ,830,784,94.46
20,1716,UTISENSETF,EQ,5122,5059,98.77
20,1717,UTISXN50,EQ,7,7,100.00
20,1718,UTTAMSTL,EQ,43058,30089,69.88
20,1719,UTTAMSUGAR,EQ,39849,22194,55.70
20,1720,UVSL,EQ,5445811,2921303,53.64
20,1721,V2RETAIL,EQ,47333,29384,62.08
20,1722,VADILALIND,EQ,57592,21456,37.26
20,1723,VAIBHAVGBL,EQ,33592,21045,62.65
20,1724,VAISHALI,EQ,25371,12970,51.12
20,1725,VAKRANGEE,EQ,1540470,1043675,67.75
20,1726,VARDHACRLC,EQ,34270,27046,78.92
20,1727,VARDMNPOLY,EQ,7787,5455,70.05
20,1728,VARROC,EQ,146023,74089,50.74
20,1729,VASA,SM,20000,16000,80.00
20,1730,VASCONEQ,EQ,66639,39757,59.66
20,1731,VASWANI,EQ,1215,1215,100.00
20,1732,VBL,EQ,174687,116082,66.45
20,1733,VEDL,EQ,16354338,11669031,71.35
20,1734,VENKEYS,EQ,91526,21557,23.55
20,1735,VERTOZ,EQ,127397,62392,48.97
20,1736,VESUVIUS,EQ,2794,1611,57.66
20,1737,VETO,EQ,39446,22157,56.17
20,1738,VGUARD,EQ,418849,316976,75.68
20,1739,VHL,EQ,72,61,84.72
20,1740,VIDHIING,EQ,473762,193759,40.90
20,1741,VIJIFIN,EQ,54116,52006,96.10
20,1742,VIKASMCORP,EQ,193379,193379,100.00
20,1743,VIKASPROP,EQ,4646724,2337229,50.30
20,1744,VIKASWSP,EQ,1141131,752538,65.95
20,1745,VINATIORGA,EQ,691546,231250,33.44
20,1746,VINDHYATEL,EQ,14173,12703,89.63
20,1747,VINNY,SM,3000,3000,100.00
20,1748,VINYLINDIA,EQ,92635,34417,37.15
20,1749,VIPCLOTHNG,EQ,212676,94671,44.51
20,1750,VIPIND,EQ,1266332,267601,21.13
20,1751,VIPULLTD,EQ,6157,3380,54.90
20,1752,VISAKAIND,EQ,20936,9401,44.90
20,1753,VISASTEEL,EQ,34006,33506,98.53
20,1754,VISHAL,EQ,395741,119735,30.26
20,1755,VISHWARAJ,EQ,37938,23308,61.44
20,1756,VIVIMEDLAB,EQ,266041,156049,58.66
20,1757,VLSFINANCE,EQ,98692,50362,51.03
20,1758,VMART,EQ,31132,16957,54.47
20,1759,VOLTAMP,EQ,22282,13847,62.14
20,1760,VOLTAS,EQ,4978082,973124,19.55
20,1761,VRLLOG,EQ,142931,78367,54.83
20,1762,VSSL,EQ,67465,61322,90.89
20,1763,VSTIND,EQ,8950,6421,71.74
20,1764,VSTTILLERS,EQ,33123,14849,44.83
20,1765,VTL,EQ,33450,15996,47.82
20,1766,WABAG,EQ,1698507,835695,49.20
20,1767,WABCOINDIA,EQ,10480,2320,22.14
20,1768,WALCHANNAG,EQ,63506,36404,57.32
20,1769,WATERBASE,EQ,110667,49237,44.49
20,1770,WEALTH,SM,3000,3000,100.00
20,1771,WEBELSOLAR,EQ,32019,20627,64.42
20,1772,WEIZMANIND,EQ,16029,9853,61.47
20,1773,WELCORP,EQ,1465268,928366,63.36
20,1774,WELENT,EQ,77506,49510,63.88
20,1775,WELINV,EQ,1820,324,17.80
20,1776,WELSPUNIND,EQ,845273,579764,68.59
20,1777,WENDT,EQ,482,282,58.51
20,1778,WESTLIFE,EQ,161945,105109,64.90
20,1779,WHEELS,EQ,5349,3098,57.92
20,1780,WHIRLPOOL,EQ,54415,31348,57.61
20,1781,WILLAMAGOR,EQ,1494,1414,94.65
20,1782,WINDMACHIN,EQ,8352,6610,79.14
20,1783,WIPRO,EQ,18487980,5141610,27.81
20,1784,WOCKPHARMA,EQ,1112799,259086,23.28
20,1785,WONDERLA,EQ,30969,12946,41.80
20,1786,WORTH,EQ,19993,14850,74.28
20,1787,WSTCSTPAPR,EQ,335842,142285,42.37
20,1788,XCHANGING,EQ,96846,62561,64.60
20,1789,XPROINDIA,EQ,950,950,100.00
20,1790,YESBANK,EQ,63809876,23988502,37.59
20,1791,ZEEL,EQ,24883313,3851022,15.48
20,1792,ZEEL,P2,11034112,10191340,92.36
20,1793,ZEELEARN,EQ,560577,346421,61.80
20,1794,ZENITHEXPO,EQ,2993,603,20.15
20,1795,ZENSARTECH,EQ,202326,104770,51.78
20,1796,ZENTEC,EQ,979426,360348,36.79
20,1797,ZICOM,EQ,72506,72506,100.00
20,1798,ZODIAC,SM,4000,4000,100.00
20,1799,ZODIACLOTH,EQ,13742,4178,30.40
20,1800,ZODJRDMKJ,EQ,465,397,85.38
20,1801,ZOTA,EQ,3194,2308,72.26
20,1802,ZUARI,EQ,16554,11401,68.87
20,1803,ZUARIGLOB,EQ,30118,21289,70.69
20,1804,ZYDUSWELL,EQ,96539,32449,33.61
